Date,Open,High,Low,Close,Volume
2024-07-22,154.23,156.7,152.54,155.87,32154505.0
2024-07-23,154.71,157.05,153.8,154.0,21902393.0
2024-07-24,152.95,153.68,144.53,144.63,34914577.0
2024-07-25,144.15,144.75,136.81,138.32,46216236.0
2024-07-26,140.31,141.29,138.27,139.99,33807522.0
2024-07-29,141.18,144.59,138.75,139.75,36815256.0
2024-07-30,139.88,141.7,134.05,138.44,45808251.0
2024-07-31,150.7,153.61,140.03,144.48,90459980.0
2024-08-01,144.84,147.29,130.24,132.54,72076580.0
2024-08-02,133.5,137.1,131.33,132.5,56855980.0
2024-08-05,122.16,139.14,121.82,134.82,53960665.0
2024-08-06,135.08,136.44,129.1,130.18,48402749.0
2024-08-07,133.89,136.24,128.37,128.67,40127198.0
2024-08-08,131.97,136.48,128.94,136.32,34554713.0
2024-08-09,134.69,135.5,132.44,134.27,31964987.0
2024-08-12,134.44,137.99,133.23,136.77,32212537.0
2024-08-13,138.01,141.19,137.52,141.13,31852259.0
2024-08-14,143.0,143.25,137.64,140.75,27113202.0
2024-08-15,143.0,147.96,141.81,147.36,31696254.0
2024-08-16,145.7,149.37,145.2,148.56,23164279.0
2024-08-19,148.36,155.37,147.72,155.28,47113597.0
2024-08-20,156.51,162.04,154.51,156.4,60686077.0
2024-08-21,156.13,158.65,155.07,157.81,32818429.0
2024-08-22,158.79,159.84,151.01,151.7,34861484.0
2024-08-23,153.59,156.4,151.83,154.98,30644254.0
2024-08-26,154.53,158.28,148.91,149.99,37705673.0
2024-08-27,150.14,151.7,148.44,150.5,26835897.0
2024-08-28,149.47,150.43,144.72,146.36,23723197.0
2024-08-29,146.5,149.49,144.47,145.49,24543101.0
2024-08-30,147.52,148.99,145.25,148.56,21119455.0
2024-09-03,146.53,146.53,136.1,136.94,27774420.0
2024-09-04,140.55,143.37,138.51,140.87,29964493.0
2024-09-05,138.19,141.71,137.83,139.44,16906105.0
2024-09-06,138.7,139.13,132.11,134.35,26372296.0
2024-09-09,136.09,138.45,134.86,138.15,17638570.0
2024-09-10,139.13,143.08,137.25,142.84,26438374.0
2024-09-11,145.31,150.16,140.71,149.86,36070562.0
2024-09-12,148.54,151.54,147.65,150.77,21895518.0
2024-09-13,152.32,153.03,150.7,152.31,18581458.0
2024-09-16,151.72,154.44,150.91,152.08,20247343.0
2024-09-17,153.55,154.05,149.22,150.82,21665410.0
2024-09-18,150.9,152.82,148.01,148.29,19008822.0
2024-09-19,153.75,159.25,152.77,156.74,31345366.0
2024-09-20,156.0,157.45,152.47,155.95,23477043.0
2024-09-23,156.48,157.19,154.97,156.75,14347019.0
2024-09-24,157.47,159.64,154.58,158.32,19792302.0
2024-09-25,158.5,162.95,158.18,162.02,25991496.0
2024-09-26,167.06,168.68,164.05,167.49,26210926.0
2024-09-27,167.48,168.73,163.74,164.35,17695196.0
2024-09-30,163.2,165.08,162.18,164.08,14086257.0
2024-10-01,164.48,165.4,158.08,159.75,21097487.0
2024-10-02,159.27,163.1,158.66,159.78,18456967.0
2024-10-03,159.71,166.79,159.4,162.85,22860913.0
2024-10-04,166.64,171.21,164.42,170.9,33830916.0
2024-10-07,171.08,172.41,168.21,170.97,29007363.0
2024-10-08,171.75,173.6,170.0,172.8,24286491.0
2024-10-09,174.05,174.05,169.55,171.02,25108421.0
