Date,Open,High,Low,Close,Volume
2024-07-22,184.91,185.06,182.48,182.55,21512881.0
2024-07-23,184.1,189.39,183.56,186.41,27399906.0
2024-07-24,183.25,185.45,180.41,180.83,24778108.0
2024-07-25,182.93,183.9,176.83,179.85,28488286.0
2024-07-26,180.39,183.19,180.24,182.5,18016209.0
2024-07-29,183.83,184.75,182.38,183.2,18718721.0
2024-07-30,184.72,185.86,179.38,181.71,20232764.0
2024-07-31,185.05,187.94,184.46,186.98,23550127.0
2024-08-01,189.28,190.6,181.87,184.07,38024741.0
2024-08-02,166.75,168.77,160.55,167.9,91767663.0
2024-08-05,154.21,162.96,151.64,161.02,51039371.0
2024-08-06,161.74,165.08,158.54,161.93,34167036.0
2024-08-07,166.56,167.58,161.43,162.77,31442847.0
2024-08-08,165.17,166.69,162.55,165.8,27229529.0
2024-08-09,166.51,168.55,165.85,166.94,20891021.0
2024-08-12,168.12,168.55,166.11,166.8,18902814.0
2024-08-13,167.84,171.04,167.1,170.23,24086962.0
2024-08-14,172.12,172.28,168.86,170.1,17289537.0
2024-08-15,174.87,177.91,173.99,177.59,32481908.0
2024-08-16,177.04,178.34,176.26,177.06,18907815.0
2024-08-19,177.64,178.3,176.16,178.22,16383078.0
2024-08-20,177.9,179.01,177.43,178.88,14477514.0
2024-08-21,179.89,182.39,178.89,180.11,24277786.0
2024-08-22,181.38,181.47,175.68,176.13,18562939.0
2024-08-23,177.34,178.97,175.24,177.04,18162530.0
2024-08-26,176.72,177.47,174.3,175.5,14285908.0
2024-08-27,174.31,174.89,172.25,173.12,18571577.0
2024-08-28,173.69,173.69,168.92,170.8,17412189.0
2024-08-29,173.22,174.29,170.81,172.12,16264580.0
2024-08-30,172.78,178.9,172.6,178.5,24644468.0
2024-09-03,177.55,178.26,175.26,176.25,23449472.0
2024-09-04,174.44,175.98,172.54,173.33,18780456.0
2024-09-05,175.03,179.88,174.99,177.89,26928536.0
2024-09-06,177.28,178.38,171.16,171.39,21534198.0
2024-09-09,174.53,175.85,173.51,175.4,16694121.0
2024-09-10,177.49,180.5,176.79,179.55,21473828.0
2024-09-11,180.03,184.99,175.73,184.52,26744189.0
2024-09-12,184.86,187.41,183.54,187.0,18618943.0
2024-09-13,187.0,188.5,185.91,186.49,15458764.0
2024-09-16,185.29,185.81,183.36,184.89,15368189.0
2024-09-17,186.84,189.45,186.14,186.88,15811005.0
2024-09-18,186.45,188.8,185.06,186.43,16497638.0
2024-09-19,190.04,190.99,188.47,189.87,22304544.0
2024-09-20,190.28,191.84,187.41,191.6,27801346.0
2024-09-23,191.63,194.41,190.57,193.88,19740983.0
2024-09-24,194.3,195.37,190.13,193.96,20758651.0
2024-09-25,193.75,193.95,192.16,192.53,14304864.0
2024-09-26,194.31,194.55,189.54,191.16,20171704.0
2024-09-27,190.83,190.9,187.34,187.97,19611485.0
2024-09-30,187.14,188.49,184.65,186.33,19755068.0
2024-10-01,184.9,186.19,183.45,185.13,21269851.0
2024-10-02,184.45,186.6,184.04,184.76,13679975.0
2024-10-03,183.05,183.44,180.87,181.96,18965524.0
2024-10-04,185.77,187.6,183.6,186.51,22686220.0
2024-10-07,182.95,183.6,180.25,180.8,25721852.0
2024-10-08,181.97,183.09,180.92,182.72,14704184.0
2024-10-09,182.93,185.85,182.05,185.17,15556127.0
2024-10-10,187.12,188.14,185.83,186.65,16953674.0
2024-10-11,186.63,189.93,186.33,188.82,16141844.0
2024-10-14,189.71,189.83,187.36,187.54,13414926.0
2024-10-15,187.6,188.41,184.58,187.69,18246340.0
2024-10-16,187.05,187.78,185.61,186.89,13030812.0
2024-10-17,188.19,188.94,186.0,187.53,14107357.0
2024-10-18,187.14,190.74,186.28,188.99,22056797.0
2024-10-21,188.12,189.46,186.4,189.07,14624176.0
2024-10-22,188.4,191.53,186.97,189.7,16492527.0
2024-10-23,188.88,189.16,183.69,184.71,17910049.0
2024-10-24,185.36,187.11,183.86,186.38,12474559.0
2024-10-25,187.85,190.45,187.53,187.83,16656024.0
2024-10-28,189.55,190.21,188.21,188.39,13627696.0
2024-10-29,188.58,191.46,187.81,190.83,16097059.0
2024-10-30,194.73,195.61,192.42,192.73,21283215.0
2024-10-31,190.62,190.62,185.23,186.4,33574453.0
2024-11-01,198.88,200.5,197.02,197.93,67161972.0
2024-11-04,196.54,197.33,194.31,195.78,22877360.0
2024-11-05,196.04,199.82,195.99,199.5,20539202.0
2024-11-06,199.91,207.55,199.14,207.09,44686704.0
2024-11-07,207.42,212.25,207.19,210.05,32757927.0
2024-11-08,209.78,209.97,207.44,208.18,20077343.0
2024-11-11,208.52,209.65,205.59,206.84,18405495.0
2024-11-12,208.37,209.54,206.01,208.91,20791773.0
2024-11-13,209.49,215.08,209.14,214.1,27808201.0
2024-11-14,214.14,215.9,210.88,211.48,24596153.0
2024-11-15,206.48,207.34,199.65,202.61,58324194.0
2024-11-18,204.16,204.67,200.95,201.7,18955584.0
2024-11-19,199.23,205.3,198.8,204.61,18790636.0
2024-11-20,202.96,203.13,199.45,202.88,19195106.0
2024-11-21,203.03,203.49,195.75,198.38,38843151.0
2024-11-22,198.04,199.26,196.75,197.12,17735616.0
2024-11-25,199.27,201.95,199.0,201.45,19453458.0
2024-11-26,201.9,208.0,201.85,207.86,26680054.0
2024-11-27,206.98,207.64,205.05,205.74,16228335.0
2024-11-29,205.87,208.2,204.59,207.89,11357422.0
2024-12-02,209.9,212.99,209.51,210.71,22626996.0
2024-12-03,210.4,214.02,209.65,213.44,19381127.0
2024-12-04,216.01,220.0,215.75,218.16,29853859.0
2024-12-05,217.99,222.15,217.3,220.55,24912647.0
2024-12-06,220.81,227.15,220.6,227.03,26566101.0
2024-12-09,227.15,230.08,225.67,226.09,25717393.0
2024-12-10,226.09,229.06,224.2,225.04,16714289.0
2024-12-11,226.41,231.2,226.26,230.26,19112618.0
2024-12-12,229.59,231.09,227.63,228.97,14251287.0
2024-12-13,228.4,230.2,225.86,227.46,15824743.0
2024-12-16,230.21,233.0,228.01,232.93,17818840.0
2024-12-17,232.39,232.73,227.85,231.15,17458445.0
2024-12-18,230.17,231.4,220.11,220.52,22561624.0
2024-12-19,225.21,226.09,222.92,223.29,18122550.0
2024-12-20,219.9,226.21,218.73,224.92,25093566.0
2024-12-23,225.0,226.88,223.9,225.06,11738212.0
2024-12-24,226.79,229.14,226.13,229.05,8318881.0
2024-12-26,227.79,228.5,226.67,227.05,9121961.0
2024-12-27,225.6,226.03,220.9,223.75,14973810.0
2024-12-30,220.08,223.0,218.43,221.3,14523539.0
2024-12-31,222.97,223.23,218.94,219.39,12359295.0
2025-01-02,222.44,225.15,218.19,220.22,19985202.0
2025-01-03,222.48,225.36,221.62,224.19,14779244.0
2025-01-06,226.82,228.84,224.84,227.61,17090971.0
2025-01-07,227.82,228.39,221.46,222.11,15666578.0
2025-01-08,223.2,223.52,220.2,222.13,11888121.0
2025-01-10,221.46,221.71,216.5,218.94,19737803.0
2025-01-13,218.06,219.4,216.47,218.46,14551598.0
