Date,Open,High,Low,Close,Volume
2024-07-22,180.6,182.7,180.23,181.67,12866431.0
2024-07-23,182.05,183.61,181.54,181.79,17526431.0
2024-07-24,173.65,176.19,171.82,172.63,29263960.0
2024-07-25,172.52,173.42,167.19,167.28,27262905.0
2024-07-26,167.02,168.09,164.07,167.0,25805331.0
2024-07-29,168.86,170.43,167.99,169.53,11005154.0
2024-07-30,170.21,171.23,168.44,170.29,9530005.0
2024-07-31,173.24,174.25,170.01,171.54,12676548.0
2024-08-01,170.15,174.05,168.88,170.76,13105149.0
2024-08-02,166.44,168.51,164.67,166.66,16748281.0
2024-08-05,155.42,164.43,154.93,159.25,32678596.0
2024-08-06,159.34,160.57,156.41,158.29,26536550.0
2024-08-07,161.2,162.98,158.47,158.94,14255857.0
2024-08-08,160.59,163.69,160.21,162.03,12631472.0
2024-08-09,160.01,163.79,159.06,163.67,17932553.0
2024-08-12,164.32,164.9,161.84,162.29,8633953.0
2024-08-13,163.37,164.73,162.97,164.16,10047490.0
2024-08-14,162.41,163.22,157.71,160.37,26504853.0
2024-08-15,160.5,161.64,159.61,161.3,17390989.0
2024-08-16,161.48,165.06,161.13,162.96,14966156.0
2024-08-19,165.24,166.69,164.26,166.67,11196249.0
2024-08-20,166.91,168.64,166.82,167.18,8685161.0
2024-08-21,165.14,166.85,164.67,165.85,9915195.0
2024-08-22,167.3,167.59,163.31,163.8,10333429.0
2024-08-23,164.72,166.18,163.83,165.62,7209602.0
2024-08-26,166.42,167.55,164.45,166.16,6219013.0
2024-08-27,165.89,166.45,164.46,164.68,5776378.0
2024-08-28,165.03,165.6,161.52,162.85,9041498.0
2024-08-29,164.31,165.97,160.25,161.78,11134955.0
2024-08-30,162.57,163.66,161.69,163.38,9836851.0
2024-09-03,161.6,161.85,156.48,157.36,15145691.0
2024-09-04,156.62,159.0,155.96,156.45,10895538.0
2024-09-05,156.34,159.45,155.98,157.24,9728803.0
2024-09-06,157.3,157.83,150.58,150.92,19523982.0
2024-09-09,152.5,153.4,147.21,148.71,22347875.0
2024-09-10,150.45,151.27,148.34,148.66,15639774.0
2024-09-11,149.92,151.5,147.52,151.16,16252885.0
2024-09-12,153.8,154.82,152.65,154.69,17010994.0
2024-09-13,155.43,158.38,155.21,157.46,15772665.0
2024-09-16,157.24,158.25,156.6,158.06,9930121.0
2024-09-17,159.02,160.55,158.37,159.32,11364345.0
2024-09-18,159.81,160.5,158.59,159.81,13366577.0
2024-09-19,163.7,163.79,161.34,162.14,13635296.0
2024-09-20,163.55,163.73,162.06,163.59,14723042.0
2024-09-23,164.28,165.49,161.67,161.85,11075091.0
2024-09-24,163.03,163.22,160.69,162.29,10620793.0
2024-09-25,161.47,162.81,161.3,161.49,10961047.0
2024-09-26,163.64,164.08,162.28,162.73,10368024.0
2024-09-27,162.86,165.7,162.62,163.95,10295925.0
2024-09-30,163.32,166.15,163.26,165.85,8324204.0
2024-10-01,167.67,169.16,164.58,166.99,16290205.0
2024-10-02,166.42,167.52,164.73,165.86,9785975.0
2024-10-03,164.41,166.64,163.92,165.86,8184670.0
2024-10-04,168.06,168.22,165.48,167.06,8929031.0
2024-10-07,167.72,168.48,162.75,162.98,11192940.0
2024-10-08,163.91,164.73,162.87,164.38,9613013.0
2024-10-09,163.45,164.84,159.74,161.86,19315214.0
