Date,Open,High,Low,Close,Volume
2024-07-22,33.27,33.41,32.76,33.37,30223381.0
2024-07-23,32.96,33.23,32.83,32.95,19821354.0
2024-07-24,32.54,32.8,31.66,31.7,35524317.0
2024-07-25,31.41,31.99,30.95,31.1,38611346.0
2024-07-26,31.41,31.56,31.02,31.35,26524530.0
2024-07-29,31.42,31.47,30.79,30.83,22853053.0
2024-07-30,30.84,30.91,30.0,30.13,32997133.0
2024-07-31,30.46,30.87,30.28,30.74,37691179.0
2024-08-01,30.44,30.71,28.89,29.05,57683835.0
2024-08-02,21.94,21.98,20.42,21.48,238704724.0
2024-08-05,20.2,20.39,19.29,20.11,121961022.0
2024-08-06,20.33,20.63,19.75,19.83,84669899.0
2024-08-07,19.92,20.25,18.95,18.99,76926222.0
2024-08-08,19.1,20.55,18.84,20.49,73494580.0
2024-08-09,20.09,20.15,19.5,19.71,62949334.0
2024-08-12,19.87,19.97,19.0,19.36,43741827.0
2024-08-13,19.48,20.48,19.47,20.47,57147545.0
2024-08-14,20.48,20.5,19.78,19.92,46124741.0
2024-08-15,20.32,21.06,20.23,20.69,68061581.0
2024-08-16,20.45,20.9,20.41,20.87,35179754.0
2024-08-19,20.89,21.86,20.83,21.52,54237134.0
2024-08-20,21.23,21.23,20.82,20.99,66637035.0
2024-08-21,21.09,21.44,21.07,21.41,42556560.0
2024-08-22,21.39,21.4,20.04,20.1,61635495.0
2024-08-23,20.33,20.93,20.26,20.54,55395406.0
2024-08-26,20.52,20.56,19.95,20.13,38973338.0
2024-08-27,20.14,20.26,19.84,20.07,35749266.0
2024-08-28,19.98,20.11,19.51,19.61,39181455.0
2024-08-29,19.77,20.6,19.75,20.13,52303868.0
2024-08-30,21.25,22.12,21.0,22.04,133556376.0
2024-09-03,21.54,21.69,19.99,20.1,85683695.0
2024-09-04,19.78,20.05,19.28,19.43,69070592.0
2024-09-05,19.3,19.9,19.24,19.4,48851708.0
2024-09-06,19.43,19.49,18.64,18.89,65320051.0
2024-09-09,18.99,19.54,18.95,19.07,41168965.0
2024-09-10,19.03,19.11,18.51,18.98,44201713.0
2024-09-11,18.98,19.69,18.52,19.64,53300981.0
2024-09-12,19.45,19.54,19.04,19.36,41780029.0
2024-09-13,19.5,19.8,19.49,19.66,34722655.0
2024-09-16,20.01,21.07,19.76,20.91,97734468.0
2024-09-17,21.71,22.58,21.24,21.47,165133588.0
2024-09-18,21.39,21.74,20.71,20.77,95558334.0
2024-09-19,21.28,21.69,21.03,21.14,77707029.0
2024-09-20,20.89,23.14,20.35,21.84,166365523.0
2024-09-23,22.42,22.82,22.03,22.56,141391932.0
2024-09-24,22.53,23.11,22.28,22.81,78464237.0
2024-09-25,22.8,24.06,22.73,23.54,94998358.0
2024-09-26,24.28,24.42,23.25,23.92,74598548.0
2024-09-27,24.16,24.66,23.7,23.91,59967429.0
2024-09-30,23.74,23.95,23.09,23.46,48299104.0
2024-10-01,23.47,23.72,22.25,22.69,58151929.0
2024-10-02,22.67,23.07,22.35,22.39,44413195.0
2024-10-03,22.15,22.73,21.65,22.26,39894514.0
2024-10-04,22.69,22.91,22.3,22.59,38243852.0
2024-10-07,22.41,22.65,22.02,22.38,33969055.0
2024-10-08,22.25,23.42,22.04,23.32,45475175.0
2024-10-09,23.24,23.48,23.06,23.46,33967890.0
2024-10-10,23.17,23.53,22.96,23.22,32382363.0
2024-10-11,23.05,23.82,22.98,23.56,35163745.0
2024-10-14,23.57,23.77,23.27,23.44,27979556.0
2024-10-15,23.41,23.72,22.47,22.66,49468289.0
2024-10-16,22.38,22.54,21.74,22.31,48936031.0
2024-10-17,22.72,22.82,22.4,22.44,33405170.0
2024-10-18,22.61,22.82,22.5,22.77,25428806.0
2024-10-21,22.61,22.88,22.25,22.84,27404072.0
2024-10-22,22.73,22.82,22.17,22.4,32197119.0
2024-10-23,22.3,22.43,21.57,21.98,36495245.0
2024-10-24,22.09,22.37,21.97,22.34,28123406.0
2024-10-25,22.43,23.34,22.41,22.68,44334102.0
2024-10-28,22.66,23.27,22.56,22.92,29470840.0
2024-10-29,22.87,23.14,22.43,22.9,42383141.0
2024-10-30,22.42,22.93,22.26,22.3,37231927.0
2024-10-31,22.17,22.25,21.47,21.52,58313775.0
2024-11-01,22.99,23.58,21.91,23.2,127241614.0
2024-11-04,22.96,23.0,22.13,22.52,71295287.0
2024-11-05,22.58,23.58,22.4,23.32,48101656.0
2024-11-06,24.31,25.12,24.05,25.05,90572965.0
2024-11-07,25.42,26.38,25.19,26.23,72587917.0
2024-11-08,26.0,26.43,25.83,26.2,61211664.0
2024-11-11,25.97,26.29,24.83,25.05,53280162.0
