Date,Open,High,Low,Close,Volume
2024-07-22,122.66,124.06,120.44,122.5,820895.0
2024-07-23,121.84,123.5,120.22,121.25,810269.0
2024-07-24,119.81,120.04,115.47,118.19,1603727.0
2024-07-25,117.78,122.4,116.58,120.4,1347960.0
2024-07-26,121.74,122.34,119.43,122.11,996296.0
2024-07-29,122.55,122.85,119.76,122.17,1084821.0
2024-07-30,123.57,125.68,118.5,118.84,1532004.0
2024-07-31,120.53,122.45,118.1,119.22,1507713.0
2024-08-01,99.58,102.9,93.6,94.17,12581137.0
2024-08-02,91.48,91.68,84.43,86.58,6820223.0
2024-08-05,80.36,85.86,78.07,83.75,5678262.0
2024-08-06,85.03,85.57,80.17,82.3,3225650.0
2024-08-07,84.08,85.75,80.34,81.55,2807013.0
2024-08-08,82.5,85.4,82.07,84.32,2076958.0
2024-08-09,84.39,85.2,82.59,84.93,1374874.0
2024-08-12,85.0,85.0,80.78,81.29,1866296.0
2024-08-13,81.43,83.04,80.58,82.9,1607032.0
2024-08-14,82.75,83.52,81.35,82.25,1569091.0
2024-08-15,83.69,87.88,83.56,86.62,2400540.0
2024-08-16,88.0,88.78,86.24,86.84,1980142.0
2024-08-19,87.02,91.99,86.62,89.96,2589005.0
2024-08-20,89.24,89.8,86.91,86.94,1551315.0
2024-08-21,87.73,88.59,85.88,86.65,1970730.0
2024-08-22,86.16,86.8,80.76,81.04,3382053.0
2024-08-23,82.41,84.28,81.25,82.44,2634008.0
2024-08-26,82.62,83.68,81.25,81.66,1264185.0
2024-08-27,81.21,81.61,78.4,78.98,2216092.0
2024-08-28,79.65,80.56,78.2,78.36,1704197.0
2024-08-29,78.78,79.6,77.46,77.59,2148340.0
2024-08-30,78.48,78.8,76.06,77.4,1819085.0
2024-09-03,77.55,77.75,72.54,72.94,3140948.0
2024-09-04,72.41,74.43,71.62,72.49,2653164.0
2024-09-05,72.78,73.6,71.51,73.44,1428478.0
2024-09-06,73.44,73.6,71.65,72.89,1934004.0
2024-09-09,73.48,78.8,73.26,76.61,3164035.0
2024-09-10,76.12,79.96,75.95,79.28,1959293.0
2024-09-11,79.05,79.88,77.44,79.51,1780915.0
2024-09-12,67.86,70.85,64.11,69.68,17829343.0
2024-09-13,66.17,68.58,65.55,68.28,8640019.0
2024-09-16,68.12,70.6,67.81,69.17,3343819.0
2024-09-17,70.01,75.38,69.79,71.99,4774504.0
2024-09-18,72.19,73.35,69.83,69.86,2619493.0
2024-09-19,71.85,71.97,67.91,68.02,3277603.0
2024-09-20,67.49,67.91,64.7,65.69,4996742.0
2024-09-23,65.91,66.05,64.1,64.14,3817612.0
2024-09-24,64.82,65.25,63.88,63.94,2997969.0
2024-09-25,63.95,64.86,63.51,63.64,2555543.0
2024-09-26,64.64,65.07,63.37,63.93,2707578.0
2024-09-27,64.85,66.88,64.25,65.75,3211392.0
2024-09-30,65.69,67.96,65.31,66.83,3008494.0
2024-10-01,67.06,67.55,63.41,63.93,2756111.0
2024-10-02,63.52,63.69,62.58,63.16,2677756.0
2024-10-03,62.53,62.97,61.03,61.07,3162450.0
2024-10-04,61.51,62.11,59.62,60.2,4414845.0
2024-10-07,60.2,60.65,58.33,58.72,3161149.0
2024-10-08,58.53,58.67,57.75,58.39,2386982.0
2024-10-09,58.33,59.52,57.9,58.86,1767576.0
2024-10-10,58.41,58.7,56.64,56.83,2955936.0
2024-10-11,56.71,59.74,55.7,58.29,3885728.0
2024-10-14,57.9,58.96,57.05,57.73,1958995.0
2024-10-15,57.64,58.62,57.12,57.31,2334083.0
2024-10-16,57.82,58.45,57.12,57.46,2019810.0
2024-10-17,57.08,57.15,54.82,54.82,3499418.0
2024-10-18,54.61,55.1,53.55,54.1,3969990.0
2024-10-21,53.82,54.76,53.05,53.8,2587824.0
2024-10-22,53.67,54.79,52.81,53.4,2308299.0
2024-10-23,53.28,54.74,52.77,53.39,2736139.0
2024-10-24,53.39,53.84,52.26,52.8,2565009.0
2024-10-25,53.01,54.51,52.8,53.09,2290804.0
2024-10-28,53.31,55.77,53.1,54.8,2991958.0
2024-10-29,55.21,57.69,54.88,55.22,3606140.0
2024-10-30,54.4,55.04,53.5,54.72,2613596.0
2024-10-31,54.35,54.58,52.92,54.36,2570581.0
2024-11-01,54.49,55.35,53.89,54.63,2852790.0
2024-11-04,54.6,55.65,53.41,53.54,2389827.0
2024-11-05,53.53,54.32,52.08,53.29,3864608.0
2024-11-06,52.59,52.86,49.6,51.81,6389684.0
2024-11-07,56.6,56.7,49.94,50.28,10748110.0
2024-11-08,50.42,50.9,46.57,46.83,9203377.0
2024-11-11,46.83,46.88,42.25,42.75,11485047.0
2024-11-12,42.19,44.11,41.54,43.47,7373961.0
2024-11-13,43.25,43.28,41.71,42.14,5340099.0
2024-11-14,42.08,42.08,38.76,39.77,9531684.0
2024-11-15,38.55,38.7,35.8,36.85,18479995.0
2024-11-18,38.33,39.77,37.1,39.51,9554657.0
2024-11-19,38.9,39.28,37.01,37.29,6318478.0
2024-11-20,37.26,38.22,36.4,36.94,4883106.0
2024-11-21,36.55,38.82,35.96,38.25,6391627.0
2024-11-22,38.27,42.4,37.76,41.11,10135794.0
2024-11-25,43.0,46.3,42.83,43.66,10704970.0
2024-11-26,42.92,43.3,41.47,42.05,4709881.0
2024-11-27,42.49,43.46,42.08,43.39,3331503.0
2024-11-29,43.25,43.85,42.3,43.06,2197990.0
2024-12-02,43.33,44.66,42.07,44.26,4578541.0
2024-12-03,43.99,44.25,42.36,42.58,4401618.0
2024-12-04,42.89,43.0,41.47,41.63,3287381.0
2024-12-05,41.77,44.45,41.74,42.94,4985071.0
2024-12-06,43.53,46.62,43.16,44.44,6306409.0
2024-12-09,44.77,47.42,44.1,45.65,5126073.0
2024-12-10,45.23,45.49,41.05,41.51,7708495.0
2024-12-11,41.9,43.25,41.06,42.86,3859912.0
2024-12-12,42.55,43.8,41.7,42.82,3179757.0
2024-12-13,42.23,42.69,41.38,41.83,2950995.0
2024-12-16,42.18,44.38,41.28,41.84,5251497.0
2024-12-17,41.85,43.17,40.63,40.76,3916476.0
2024-12-18,40.06,41.73,38.2,38.36,5851341.0
2024-12-19,38.56,39.87,37.44,39.56,4796314.0
2024-12-20,39.29,40.83,39.12,39.39,6047601.0
2024-12-23,39.19,40.34,38.52,39.59,3055650.0
2024-12-24,39.6,40.36,38.75,40.27,1746392.0
2024-12-26,39.57,40.55,39.24,40.43,2730828.0
2024-12-27,40.36,41.49,39.79,40.13,3401998.0
2024-12-30,39.73,40.5,38.88,39.38,3297096.0
2024-12-31,39.69,41.79,39.39,41.58,4997653.0
2025-01-02,42.2,43.3,41.41,42.0,3518702.0
2025-01-03,42.25,42.62,41.08,42.18,3907305.0
2025-01-06,44.12,44.52,41.63,42.57,5957076.0
2025-01-07,43.9,48.92,42.86,47.53,16034453.0
2025-01-08,47.6,47.7,43.01,43.17,9161661.0
2025-01-10,42.83,43.7,41.78,42.25,4114049.0
2025-01-13,33.31,35.38,31.94,35.15,23675504.0
2025-01-14,35.15,35.68,33.18,34.46,10158982.0
2025-01-15,35.18,35.54,34.46,34.77,4980296.0
2025-01-16,34.79,34.95,33.34,33.76,4807353.0
2025-01-17,33.89,34.79,33.6,34.06,4118168.0
2025-01-21,35.76,37.9,35.3,35.89,9102235.0
2025-01-22,36.34,41.09,36.0,38.5,13221847.0
2025-01-23,38.44,42.54,36.99,42.39,9825681.0
2025-01-24,43.16,45.4,40.78,41.41,12765160.0
2025-01-27,40.88,44.08,40.71,41.65,7624020.0
