Date,Open,High,Low,Close,Volume
2024-07-22,441.58,444.6,438.91,442.94,6627490.0
2024-07-23,443.9,448.39,443.1,444.85,5469689.0
2024-07-24,440.45,441.48,427.58,428.9,12444380.0
2024-07-25,428.8,429.8,417.51,418.4,15922520.0
2024-07-26,418.17,428.92,417.27,425.27,10650757.0
2024-07-29,431.58,432.15,424.7,426.73,7129322.0
2024-07-30,427.72,429.05,417.36,422.92,12759172.0
2024-07-31,420.48,421.78,412.21,418.35,21673949.0
2024-08-01,420.79,427.46,413.09,417.11,14401248.0
2024-08-02,412.49,415.0,404.34,408.49,13103743.0
2024-08-05,389.2,401.04,385.58,395.15,18593781.0
2024-08-06,400.01,405.67,398.5,399.61,10759676.0
2024-08-07,408.69,410.08,397.47,398.43,9948780.0
2024-08-08,402.45,405.86,399.94,402.69,8665892.0
2024-08-09,404.03,408.05,402.26,406.02,6305036.0
2024-08-12,407.01,408.76,404.24,406.81,6368213.0
2024-08-13,409.59,414.95,409.57,414.01,7317882.0
2024-08-14,414.89,417.72,412.44,416.86,6025076.0
2024-08-15,419.26,421.11,417.66,421.03,7378830.0
2024-08-16,421.09,421.34,417.3,418.47,7353935.0
2024-08-19,418.96,421.75,416.46,421.53,5424697.0
2024-08-20,421.7,425.86,421.64,424.8,6646305.0
2024-08-21,424.01,426.4,421.72,424.14,5667950.0
2024-08-22,424.36,426.79,414.61,415.55,8037334.0
2024-08-23,416.98,419.26,412.09,416.79,7716921.0
2024-08-26,416.69,417.28,411.34,413.49,5192553.0
2024-08-27,412.86,414.36,410.25,413.84,5438707.0
2024-08-28,415.16,415.16,407.31,410.6,6066677.0
2024-08-29,414.94,422.05,410.6,413.12,8203305.0
2024-08-30,414.91,417.45,412.13,417.14,6692862.0
2024-09-03,417.95,419.88,407.03,409.44,7850324.0
2024-09-04,405.79,411.24,404.37,408.9,7333880.0
2024-09-05,407.62,413.1,406.13,408.39,6651406.0
2024-09-06,409.49,410.65,400.8,401.7,7474340.0
2024-09-09,407.12,408.65,402.15,405.72,7376986.0
2024-09-10,408.03,416.33,407.71,414.2,8721401.0
2024-09-11,415.5,423.99,409.58,423.04,8142623.0
2024-09-12,423.58,427.37,419.75,427.0,8049210.0
2024-09-13,425.79,431.83,425.46,430.59,6244885.0
2024-09-16,430.59,433.53,428.22,431.34,6436900.0
2024-09-17,440.23,441.85,432.27,435.15,9760063.0
2024-09-18,434.99,436.03,430.41,430.81,7908145.0
2024-09-19,441.27,441.5,436.9,438.69,8566365.0
2024-09-20,437.05,439.24,434.22,435.27,12680396.0
2024-09-23,434.28,436.46,430.38,433.51,4893772.0
2024-09-24,433.0,433.35,426.1,429.17,6946261.0
2024-09-25,430.0,433.12,428.57,432.11,5469213.0
2024-09-26,435.0,435.3,429.13,431.31,6651970.0
2024-09-27,431.8,431.85,427.47,428.02,5399687.0
2024-09-30,428.21,430.42,425.37,430.3,5579517.0
2024-10-01,428.45,428.48,418.81,420.69,7956004.0
2024-10-02,422.58,422.88,416.71,417.13,7563083.0
2024-10-03,417.8,419.55,414.29,416.54,6802835.0
2024-10-04,417.88,419.75,414.97,416.06,6771908.0
2024-10-07,416.0,417.11,409.0,409.54,9482936.0
2024-10-08,410.9,415.66,408.17,414.71,9265883.0
2024-10-09,416.0,420.38,414.3,417.46,7697193.0
2024-10-10,415.23,417.35,413.15,415.84,6555128.0
2024-10-11,416.14,417.13,413.25,416.32,6388886.0
2024-10-14,417.68,424.04,417.52,419.14,8270739.0
2024-10-15,422.2,422.48,415.26,418.74,6904862.0
2024-10-16,415.17,416.36,410.48,416.12,6577464.0
2024-10-17,422.38,422.5,415.59,416.72,5434764.0
2024-10-18,417.17,419.65,416.26,418.16,7317022.0
2024-10-21,416.19,418.96,413.75,418.78,5886658.0
2024-10-22,418.47,430.58,418.04,427.51,11825311.0
2024-10-23,431.07,431.08,422.53,424.6,8862416.0
2024-10-24,425.33,425.98,422.4,424.73,5108845.0
2024-10-25,426.76,432.52,426.56,428.15,6843452.0
2024-10-28,431.49,431.94,426.3,426.59,6249588.0
2024-10-29,428.0,433.17,425.8,431.95,6695037.0
2024-10-30,437.37,438.5,432.1,432.53,12564908.0
2024-10-31,415.01,416.16,406.3,406.35,26762789.0
2024-11-01,409.0,415.5,407.5,410.37,11285385.0
2024-11-04,410.0,410.42,405.57,408.46,7720246.0
2024-11-05,408.08,414.9,408.08,411.46,7691577.0
2024-11-06,412.42,420.45,410.52,420.18,12355773.0
2024-11-07,421.28,426.85,419.88,425.43,8655360.0
2024-11-08,425.41,426.5,421.78,422.54,6934686.0
2024-11-11,422.44,424.81,416.0,418.01,9034685.0
2024-11-12,418.25,424.44,417.2,423.03,7619872.0
2024-11-13,421.64,429.33,418.21,425.2,8794655.0
2024-11-14,425.0,428.17,420.0,426.89,11024899.0
2024-11-15,419.57,422.8,413.64,415.0,11336238.0
2024-11-18,414.87,418.41,412.1,415.76,6638000.0
2024-11-19,413.11,417.94,411.55,417.79,6803466.0
2024-11-20,416.87,417.29,410.58,415.49,6668975.0
2024-11-21,419.5,419.78,410.28,412.87,9177418.0
