Date,Open,High,Low,Close,Volume
2024-07-22,639.5,656.29,632.6,647.5,2520885.0
2024-07-23,648.04,649.91,641.0,642.76,1109925.0
2024-07-24,635.74,652.42,632.67,635.99,2436124.0
2024-07-25,641.28,649.98,621.7,634.09,2223677.0
2024-07-26,645.0,646.99,629.77,631.37,1567228.0
2024-07-29,634.61,634.61,623.93,626.96,979816.0
2024-07-30,630.17,634.69,617.0,622.58,1194918.0
2024-07-31,626.57,633.6,622.58,628.35,1422588.0
2024-08-01,629.25,646.71,617.61,624.85,1653432.0
2024-08-02,620.01,625.27,608.35,613.64,1454809.0
2024-08-05,593.8,604.57,587.04,598.55,1783381.0
2024-08-06,600.62,622.45,600.62,609.57,2305495.0
2024-08-07,616.07,632.0,610.64,611.48,1610616.0
2024-08-08,620.41,632.29,616.02,630.35,1204758.0
2024-08-09,622.99,636.62,622.99,633.94,790029.0
2024-08-12,631.0,639.0,627.07,633.14,891651.0
2024-08-13,638.56,650.97,635.5,648.02,1145263.0
2024-08-14,648.7,663.57,648.7,661.68,1620794.0
2024-08-15,668.49,673.19,659.8,663.22,1416382.0
2024-08-16,668.77,680.23,665.36,674.07,1673779.0
2024-08-19,674.07,688.84,672.91,688.53,1383914.0
2024-08-20,688.07,711.33,688.07,698.54,2689279.0
2024-08-21,697.0,701.0,691.38,697.12,1056946.0
2024-08-22,691.0,701.5,686.24,688.96,1160150.0
2024-08-23,694.13,696.07,678.63,686.73,974987.0
2024-08-26,687.26,690.59,681.63,688.44,570331.0
2024-08-27,689.14,707.89,686.92,695.72,1497964.0
2024-08-28,695.83,696.67,677.1,683.84,1035372.0
2024-08-29,690.0,699.8,686.07,692.48,878444.0
2024-08-30,700.37,701.86,688.16,701.35,1037470.0
2024-09-03,700.1,703.86,671.01,675.32,1126833.0
2024-09-04,673.31,684.65,673.06,679.68,695959.0
2024-09-05,673.14,687.31,671.86,683.62,658455.0
2024-09-06,681.86,683.16,662.34,665.77,1147498.0
2024-09-09,673.06,683.5,672.14,675.42,732188.0
2024-09-10,676.87,680.59,665.8,673.62,573855.0
2024-09-11,677.46,682.97,660.8,681.47,763179.0
2024-09-12,684.92,694.88,682.2,686.8,1210109.0
