Date,Open,High,Low,Close,Volume
2024-07-22,120.35,124.07,119.86,123.54,189146708.0
2024-07-23,122.75,124.69,122.1,122.59,129772607.0
2024-07-24,119.19,119.95,113.44,114.25,227819138.0
2024-07-25,113.07,116.63,106.3,112.28,353161438.0
2024-07-26,116.18,116.2,111.58,113.06,212470053.0
2024-07-29,113.69,116.28,111.3,111.59,192385129.0
2024-07-30,111.52,111.99,102.54,103.73,368521683.0
2024-07-31,112.9,118.34,110.88,117.02,337478448.0
2024-08-01,117.52,120.16,106.81,109.21,404138521.0
2024-08-02,103.76,108.72,101.4,107.27,350850908.0
2024-08-05,92.11,103.41,90.79,100.45,373078036.0
2024-08-06,103.84,107.71,100.55,104.25,296427780.0
2024-08-07,107.81,108.68,98.69,98.91,313552066.0
2024-08-08,102.0,105.5,97.52,104.97,299711677.0
2024-08-09,105.64,106.6,103.43,104.75,231407231.0
2024-08-12,106.32,111.07,106.26,109.02,264827645.0
2024-08-13,112.44,116.23,111.58,116.14,233572458.0
2024-08-14,118.5,118.6,114.07,118.08,265400222.0
2024-08-15,118.72,123.24,117.47,122.86,242716149.0
2024-08-16,121.94,125.0,121.18,124.58,225852078.0
2024-08-19,124.3,130.0,123.42,130.0,249065927.0
2024-08-20,128.4,129.88,125.89,127.25,236159966.0
2024-08-21,127.3,129.35,126.66,128.5,207660331.0
2024-08-22,130.04,130.75,123.1,123.74,292824529.0
2024-08-23,125.86,129.6,125.22,129.37,245832008.0
2024-08-26,129.56,131.26,124.37,126.46,257291449.0
2024-08-27,125.05,129.2,123.88,128.3,234353795.0
2024-08-28,128.2,128.33,122.64,125.61,301750216.0
2024-08-29,121.38,124.43,116.71,117.59,325772876.0
2024-08-30,119.47,121.75,117.22,119.37,247254513.0
2024-09-03,116.01,116.21,107.29,108.0,353827463.0
2024-09-04,105.4,109.99,104.12,106.21,300269045.0
2024-09-05,104.97,109.65,104.76,107.21,236884691.0
2024-09-06,108.06,108.15,100.95,102.83,307038285.0
2024-09-09,104.86,106.55,103.69,106.47,207568497.0
2024-09-10,107.81,109.4,104.95,108.1,211506127.0
2024-09-11,109.44,117.18,107.42,116.91,350992646.0
2024-09-12,116.84,120.79,115.38,119.14,288999199.0
2024-09-13,119.05,119.96,117.6,119.1,185850218.0
2024-09-16,116.79,118.18,114.36,116.78,188908542.0
2024-09-17,118.17,118.8,114.83,115.59,182223354.0
2024-09-18,115.92,117.7,113.22,113.37,238189178.0
2024-09-19,117.35,119.66,117.25,117.87,215727646.0
2024-09-20,117.06,118.62,115.39,116.0,203035396.0
2024-09-23,116.54,116.99,114.86,116.26,154265613.0
2024-09-24,116.5,121.8,115.38,120.87,276256472.0
2024-09-25,122.02,124.94,121.61,123.51,222255197.0
2024-09-26,126.79,127.67,121.8,124.04,235258433.0
2024-09-27,123.97,124.03,119.26,121.4,209564365.0
2024-09-30,118.3,121.5,118.15,121.44,167513705.0
2024-10-01,121.77,122.44,115.79,117.0,230136057.0
2024-10-02,116.41,119.38,115.14,118.85,157178379.0
2024-10-03,120.88,124.36,120.34,122.85,223461541.0
2024-10-04,124.91,125.01,121.83,124.92,190239579.0
2024-10-07,124.96,130.64,124.94,127.72,277061597.0
2024-10-08,130.24,133.48,129.42,132.89,224626342.0
2024-10-09,134.12,134.52,131.38,132.65,196391798.0
2024-10-10,131.91,135.0,131.0,134.81,193379020.0
2024-10-11,134.02,135.78,133.66,134.8,133021624.0
2024-10-14,136.47,139.6,136.3,138.07,176045982.0
2024-10-15,137.87,138.57,128.74,131.6,294109368.0
2024-10-16,133.96,136.62,131.59,135.72,210104509.0
2024-10-17,139.33,140.89,136.87,136.93,233948542.0
2024-10-18,138.66,138.9,137.28,138.0,133012089.0
2024-10-21,138.13,143.71,138.0,143.71,201283439.0
2024-10-22,142.97,144.42,141.78,143.59,172751660.0
2024-10-23,142.02,142.43,137.46,139.56,224333822.0
2024-10-24,140.82,141.35,138.46,140.41,131691590.0
2024-10-25,140.93,144.13,140.8,141.54,160991153.0
2024-10-28,143.03,143.14,140.05,140.52,129577268.0
2024-10-29,140.26,142.26,138.9,141.25,115305913.0
2024-10-30,139.52,140.33,136.81,139.34,122350594.0
2024-10-31,137.6,137.62,132.11,132.76,191719617.0
2024-11-01,134.7,137.31,134.58,135.4,142058449.0
2024-11-04,137.25,138.96,135.57,136.05,141731456.0
2024-11-05,137.45,140.38,137.33,139.91,120303912.0
2024-11-06,142.96,146.49,141.99,145.61,172413322.0
2024-11-07,146.39,148.93,146.17,148.88,139410984.0
2024-11-08,148.79,149.77,146.26,147.63,122058252.0
2024-11-11,148.62,148.85,143.57,145.26,131542880.0
2024-11-12,146.77,149.62,146.01,148.29,140041646.0
2024-11-13,149.04,149.33,145.9,146.27,122559622.0
2024-11-14,147.64,149.0,145.55,146.76,136860423.0
2024-11-15,144.87,145.24,140.08,141.98,172742213.0
2024-11-18,139.51,141.55,137.15,140.15,143240458.0
2024-11-19,141.32,147.13,140.99,147.01,158340129.0
2024-11-20,147.38,147.56,142.73,145.89,193739776.0
2024-11-21,149.35,152.89,140.7,146.67,295553519.0
2024-11-22,145.89,147.16,141.1,141.95,176904822.0
2024-11-25,141.92,142.03,135.82,136.02,195607735.0
2024-11-26,137.7,139.3,135.67,136.92,135091885.0
2024-11-27,135.01,137.22,131.8,135.34,162859270.0
2024-11-29,136.74,139.35,136.05,138.25,92706442.0
2024-12-02,138.81,140.45,137.82,138.63,114156555.0
2024-12-03,138.26,140.54,137.98,140.26,107664966.0
2024-12-04,142.0,145.79,140.29,145.14,168544839.0
2024-12-05,145.12,146.54,143.95,145.06,121403743.0
2024-12-06,144.6,145.7,141.31,142.44,129457303.0
2024-12-09,138.98,139.95,137.13,138.81,122071528.0
2024-12-10,139.01,141.82,133.79,135.07,146174439.0
2024-12-11,137.36,140.17,135.21,139.31,127827416.0
2024-12-12,137.08,138.44,135.8,137.34,109978929.0
2024-12-13,138.99,139.6,132.54,134.25,165957903.0
2024-12-16,134.17,134.4,130.42,132.0,164205943.0
2024-12-17,129.08,131.59,126.86,130.39,174306817.0
2024-12-18,133.88,136.7,128.28,128.91,179967130.0
2024-12-19,131.68,134.03,129.55,130.68,142123340.0
2024-12-20,129.75,135.28,128.22,134.7,161073786.0
2024-12-23,136.24,139.79,135.12,139.67,127961500.0
2024-12-24,140.01,141.9,138.65,140.22,74639326.0
2024-12-26,139.64,140.85,137.73,139.93,87517345.0
2024-12-27,138.57,139.02,134.71,137.01,125584869.0
2024-12-30,134.83,140.27,134.02,137.49,127360042.0
2024-12-31,137.97,138.07,133.83,134.29,115128379.0
2025-01-02,136.0,138.88,134.63,138.31,142568729.0
2025-01-03,140.0,144.9,139.73,144.47,163114333.0
2025-01-06,148.59,152.16,147.82,149.43,182200377.0
2025-01-07,153.02,153.13,140.01,140.14,253553122.0
2025-01-08,142.59,143.95,137.56,140.11,159447026.0
2025-01-10,137.45,139.92,134.22,135.91,141108548.0
2025-01-13,129.99,133.49,129.51,133.23,135478790.0
2025-01-14,136.04,136.38,130.05,131.76,142807645.0
2025-01-15,133.65,136.45,131.29,136.24,129799869.0
2025-01-16,138.64,138.75,133.49,133.57,138126643.0
2025-01-17,136.7,138.5,135.46,137.71,129702358.0
2025-01-21,139.24,141.83,137.09,140.83,123216456.0
2025-01-22,144.71,147.79,143.67,147.07,161572127.0
2025-01-23,145.05,147.23,143.72,147.22,108633677.0
2025-01-24,148.37,148.97,141.88,142.62,165313625.0
2025-01-27,124.8,128.4,116.7,118.42,530221593.0
2025-01-28,121.81,129.0,116.25,128.99,428269402.0
2025-01-29,126.5,126.89,120.05,123.7,293382479.0
2025-01-30,123.1,125.0,118.1,124.65,271133100.0
2025-01-31,123.78,127.85,119.19,120.07,265995179.0
2025-02-03,114.76,118.57,113.01,116.66,257129835.0
2025-02-04,116.97,121.2,116.7,118.65,173904032.0
2025-02-05,121.75,125.0,120.76,124.83,188481021.0
2025-02-06,127.43,128.77,125.21,128.68,181587675.0
2025-02-07,129.22,130.37,125.0,129.84,170043591.0
2025-02-10,130.05,135.0,129.96,133.57,155334653.0
2025-02-11,132.58,134.48,131.02,132.8,134258171.0
2025-02-12,130.01,132.24,129.08,131.14,113731712.0
2025-02-13,131.55,136.5,131.17,135.29,146054581.0
2025-02-14,136.48,139.25,135.54,138.85,143821350.0
2025-02-18,141.27,143.44,137.92,139.4,154409787.0
2025-02-19,139.45,141.36,137.22,139.23,122162060.0
2025-02-20,140.14,140.66,136.79,140.11,105161129.0
2025-02-21,139.99,141.46,134.03,134.43,156595870.0
2025-02-24,136.83,138.59,130.1,130.28,169064572.0
2025-02-25,129.98,130.2,124.44,126.63,191668457.0
2025-02-26,129.95,133.73,128.49,131.28,199132314.0
2025-02-27,135.0,135.01,120.05,120.15,311000338.0
2025-02-28,118.04,125.09,116.41,124.92,251320925.0
2025-03-03,123.5,123.7,112.28,114.06,304558719.0
2025-03-04,110.65,119.31,110.11,115.99,283799228.0
2025-03-05,117.58,118.28,114.51,117.3,200066256.0
2025-03-06,113.5,115.35,110.22,110.57,223957575.0
2025-03-07,111.25,113.48,107.57,112.69,258909088.0
2025-03-10,109.94,111.85,105.46,106.98,269335096.0
2025-03-11,107.02,112.24,104.79,108.76,260950472.0
2025-03-12,114.12,116.76,112.88,115.74,238276650.0
2025-03-13,117.03,117.76,113.79,115.58,224208336.0
2025-03-14,118.6,121.88,118.15,121.67,200057705.0
2025-03-17,122.71,122.89,118.03,119.53,192381627.0
2025-03-18,117.96,119.02,114.54,115.43,223391618.0
2025-03-19,117.27,120.45,115.68,117.52,202763151.0
2025-03-20,116.55,120.2,116.47,118.53,170629512.0
2025-03-21,116.95,117.99,115.42,117.7,165034104.0
2025-03-24,119.88,122.22,119.34,121.41,148994593.0
2025-03-25,120.53,121.29,118.92,120.69,123171635.0
2025-03-26,118.73,118.84,112.71,113.76,220884823.0
2025-03-27,111.35,114.45,110.69,111.43,168816884.0
2025-03-28,111.48,112.87,109.07,109.67,168948090.0
2025-03-31,105.12,108.96,103.65,108.38,206011539.0
2025-04-01,108.52,110.2,106.47,110.15,163691924.0
2025-04-02,107.29,111.98,106.79,110.42,154372204.0
2025-04-03,103.55,105.63,101.6,101.8,240906775.0
2025-04-04,98.94,100.08,92.11,94.31,373273986.0
2025-04-07,87.46,101.75,86.62,97.64,434693703.0
2025-04-08,103.81,105.85,94.46,96.3,349389066.0
2025-04-09,98.94,115.09,97.7,114.33,431067582.0
2025-04-10,109.33,110.86,103.01,107.57,320748444.0
2025-04-11,108.5,111.55,107.49,110.93,228909952.0
2025-04-14,114.15,114.29,109.07,110.71,194026009.0
2025-04-15,110.97,113.62,110.5,112.2,160409821.0
2025-04-16,104.44,106.79,100.45,104.49,283737575.0
2025-04-17,104.47,104.47,100.05,101.49,227825423.0
2025-04-21,98.76,99.44,95.04,96.91,193597436.0
2025-04-22,98.76,99.82,97.28,98.89,173350967.0
2025-04-23,104.52,104.8,102.02,102.71,174018085.0
2025-04-24,103.49,106.54,103.11,106.43,153065952.0
2025-04-25,106.86,111.92,105.73,111.01,191437624.0
2025-04-28,109.7,110.37,106.02,108.73,150008036.0
2025-04-29,107.67,110.2,107.44,109.02,128529321.0
2025-04-30,104.48,108.92,104.08,108.92,146091682.0
2025-05-01,113.08,114.94,111.3,111.61,168943802.0
2025-05-02,114.16,115.4,113.37,114.5,135865900.0
2025-05-05,112.91,114.67,112.66,113.82,93151666.0
2025-05-06,111.47,114.74,110.82,113.54,113652659.0
2025-05-07,113.04,117.68,112.28,117.06,149915673.0
2025-05-08,118.49,118.68,115.85,117.37,143439959.0
2025-05-09,117.33,118.23,115.21,116.65,101964769.0
2025-05-12,121.94,123.0,120.28,123.0,154779037.0
2025-05-13,124.98,131.22,124.47,129.93,230104551.0
2025-05-14,133.21,135.44,131.68,135.34,190608245.0
2025-05-15,134.3,136.3,132.66,134.83,162661702.0
2025-05-16,136.3,136.35,133.46,135.4,150870631.0
2025-05-19,132.36,135.87,132.34,135.57,132781472.0
2025-05-20,134.3,134.58,132.62,134.38,117500892.0
2025-05-21,133.04,137.4,130.59,131.8,203043398.0
2025-05-22,132.22,134.25,131.55,132.83,137195415.0
2025-05-23,130.0,132.66,129.16,131.29,141362813.0
2025-05-27,134.14,135.66,133.31,135.5,139557043.0
2025-05-28,136.02,137.25,134.79,134.81,178614721.0
2025-05-29,142.25,143.49,137.93,139.19,268666767.0
2025-05-30,138.69,139.62,132.92,135.13,212924350.0
2025-06-02,135.58,138.12,135.4,137.38,129835889.0
2025-06-03,138.81,142.0,137.95,141.22,158312827.0
2025-06-04,142.19,142.39,139.54,141.92,118991578.0
2025-06-05,142.15,144.0,138.83,139.99,157379257.0
2025-06-06,142.51,143.27,141.51,141.72,110237921.0
2025-06-09,143.21,145.0,141.95,142.63,133147128.0
2025-06-10,142.69,144.29,141.52,143.96,104456927.0
2025-06-11,144.63,144.99,141.87,142.83,117153736.0
2025-06-12,141.99,145.0,141.85,145.0,117958659.0
2025-06-13,142.48,143.58,140.85,141.97,124371843.0
2025-06-16,143.38,146.18,143.25,144.69,130385043.0
2025-06-17,144.54,145.22,143.78,144.12,96279240.0
2025-06-18,144.02,145.65,143.12,145.48,113293950.0
2025-06-20,145.45,146.2,142.65,143.85,135307382.0
