Date,Open,High,Low,Close,Volume
2024-07-22,0.67,0.6796,0.6501,0.66,333454.0
2024-07-23,0.6657,0.7267,0.6649,0.7,698718.0
2024-07-24,0.6898,0.6898,0.64,0.6552,710533.0
2024-07-25,0.67,0.6856,0.6577,0.6782,446559.0
2024-07-26,0.68,0.74,0.6781,0.7364,1524964.0
2024-07-29,0.72,0.734,0.69,0.7135,827414.0
2024-07-30,0.71,0.715,0.6525,0.663,712438.0
2024-07-31,0.66,0.69,0.652,0.682,325715.0
2024-08-01,0.6912,0.7,0.6259,0.6399,565440.0
2024-08-02,0.64,0.64,0.5842,0.5981,596883.0
2024-08-05,0.56,0.6198,0.53,0.6175,713853.0
2024-08-06,0.66,0.6696,0.63,0.6441,464300.0
2024-08-07,0.656,0.657,0.6045,0.6261,405200.0
2024-08-08,0.6478,0.6478,0.5962,0.603,461023.0
2024-08-09,0.615,0.62,0.58,0.5893,253618.0
2024-08-12,0.595,0.607,0.57,0.581,417627.0
2024-08-13,0.6,0.6151,0.5811,0.6151,668389.0
2024-08-14,0.6151,0.6298,0.57,0.5904,300701.0
2024-08-15,0.591,0.61,0.58,0.6,275207.0
2024-08-16,0.6,0.6272,0.585,0.6272,365728.0
2024-08-19,0.63,0.6383,0.6066,0.615,272903.0
2024-08-20,0.615,0.615,0.5901,0.6143,275716.0
2024-08-21,0.6,0.6852,0.6,0.68,742405.0
2024-08-22,0.69,0.7,0.6654,0.6909,535881.0
2024-08-23,0.68,0.6949,0.6525,0.6899,376770.0
2024-08-26,0.69,0.7054,0.68,0.701,464411.0
2024-08-27,0.702,0.709,0.651,0.6599,388390.0
2024-08-28,0.65,0.655,0.602,0.609,397071.0
2024-08-29,0.61,0.6634,0.61,0.658,270707.0
2024-08-30,0.657,0.657,0.635,0.6467,141767.0
2024-09-03,0.6281,0.6461,0.61,0.6291,298233.0
2024-09-04,0.615,0.6619,0.61,0.637,269370.0
2024-09-05,0.65,0.65,0.6128,0.6185,183876.0
2024-09-06,0.6242,0.6399,0.5814,0.5925,378585.0
2024-09-09,0.6044,0.6099,0.5843,0.59,476589.0
2024-09-10,0.6,0.6,0.59,0.5972,163030.0
2024-09-11,0.6,0.6587,0.6,0.655,341652.0
2024-09-12,0.69,0.73,0.6801,0.71,1070530.0
2024-09-13,0.72,0.725,0.6821,0.6989,276337.0
2024-09-16,0.68,0.7,0.6604,0.6942,281583.0
2024-09-17,0.69,0.72,0.69,0.6951,349060.0
2024-09-18,0.6942,0.71,0.666,0.6663,380602.0
2024-09-19,0.699,0.7487,0.6793,0.7156,704607.0
2024-09-20,0.73,0.7498,0.672,0.6969,750478.0
2024-09-23,0.6936,0.72,0.6608,0.6806,294956.0
2024-09-24,0.6732,0.6998,0.67,0.673,267954.0
2024-09-25,0.6866,0.6999,0.6401,0.6595,320807.0
2024-09-26,0.6711,0.6799,0.65,0.6653,211723.0
2024-09-27,0.6742,0.7145,0.6564,0.6674,586399.0
2024-09-30,0.6464,0.67,0.64,0.6529,378949.0
2024-10-01,0.6518,0.67,0.6391,0.644,259535.0
2024-10-02,0.65,0.6745,0.65,0.6601,244423.0
2024-10-03,0.65,0.6823,0.65,0.6665,218556.0
2024-10-04,0.6502,0.6995,0.6502,0.6994,304917.0
2024-10-07,0.7,0.74,0.6999,0.7198,618457.0
2024-10-08,0.729,0.7699,0.704,0.7202,570732.0
2024-10-09,0.71,0.7255,0.6749,0.6861,308050.0
2024-10-10,0.6824,0.6899,0.6508,0.6598,314462.0
2024-10-11,0.67,0.7099,0.67,0.6916,262664.0
2024-10-14,0.7398,0.7398,0.7103,0.725,527447.0
2024-10-15,0.7216,0.735,0.6954,0.7118,423429.0
2024-10-16,0.7,0.76,0.6951,0.76,869636.0
2024-10-17,0.769,0.9,0.7312,0.87,3145523.0
2024-10-18,0.8765,1.03,0.8754,0.92,3907367.0
2024-10-21,0.932,1.16,0.925,1.14,6532470.0
2024-10-22,1.18,1.18,1.07,1.13,2644127.0
2024-10-23,1.1,1.19,1.0,1.04,3216084.0
2024-10-24,1.09,1.13,1.04,1.1,1740962.0
2024-10-25,1.14,1.16,1.05,1.09,2128611.0
2024-10-28,1.09,1.29,1.09,1.28,4853180.0
2024-10-29,1.4,1.65,1.2,1.22,8740355.0
2024-10-30,1.21,1.34,1.15,1.25,5245106.0
2024-10-31,1.26,1.29,1.06,1.12,3807082.0
2024-11-01,1.11,1.2,1.1,1.13,1789234.0
2024-11-04,1.15,1.15,1.03,1.05,2179958.0
2024-11-05,1.03,1.17,1.03,1.16,1685668.0
2024-11-06,1.24,1.24,1.03,1.08,2910983.0
2024-11-07,1.08,1.38,1.08,1.35,7596906.0
2024-11-08,1.35,1.4998,1.24,1.43,6339129.0
2024-11-11,1.5,1.56,1.35,1.41,3501190.0
2024-11-12,1.37,1.39,1.26,1.38,2381098.0
2024-11-13,1.44,3.42,1.41,2.66,90565171.0
2024-11-14,3.67,4.69,3.23,4.4,175430454.0
2024-11-15,2.95,3.21,2.53,3.1,39493096.0
2024-11-18,2.99,3.0,2.22,2.39,21439396.0
2024-11-19,2.52,2.75,2.44,2.54,18822684.0
2024-11-20,2.96,3.8,2.85,3.68,93029922.0
2024-11-21,4.24,5.31,4.03,4.76,117241262.0
2024-11-22,5.03,6.4,4.51,6.1,83527472.0
2024-11-25,7.47,9.2,6.52,7.7,110058604.0
2024-11-26,6.42,7.3,6.14,6.65,38004078.0
2024-11-27,7.0,7.7,5.89,6.75,41979266.0
2024-11-29,6.35,7.22,6.15,7.06,20881135.0
2024-12-02,7.33,7.56,6.11,6.11,16795347.0
2024-12-03,5.97,6.46,5.15,6.17,19090266.0
2024-12-04,6.21,7.2,5.9501,7.01,17443429.0
2024-12-05,6.95,7.9,6.52,7.26,20422542.0
2024-12-06,7.49,8.85,7.26,7.93,30544989.0
2024-12-09,8.58,8.6699,7.0,7.47,16875636.0
2024-12-10,7.12,8.35,7.0328,7.62,21919705.0
2024-12-11,7.11,7.38,5.83,6.4,27642726.0
2024-12-12,6.44,7.1,6.33,6.36,15036687.0
2024-12-13,6.42,7.05,6.01,6.705,17122769.0
2024-12-16,7.1,12.28,6.83,11.08,105050693.0
2024-12-17,14.19,18.0599,12.6,16.79,150484076.0
2024-12-18,19.22,27.15,17.6,25.68,188516013.0
2024-12-19,21.98,22.0,13.5701,15.14,103146753.0
2024-12-20,14.47,19.88,13.81,17.62,105558385.0
2024-12-23,19.85,19.95,16.915,18.19,43503358.0
2024-12-24,17.86,18.0,16.31,17.095,22292478.0
2024-12-26,16.72,19.46,16.22,19.24,35958965.0
2024-12-27,20.23,21.75,17.63,18.35,37800034.0
2024-12-30,17.72,18.7899,16.74,18.54,17629858.0
2024-12-31,18.21,18.34,16.01,16.55,15507832.0
2025-01-02,16.69,18.77,15.2,18.755,20840621.0
2025-01-03,17.99,19.2,16.98,17.5,18864760.0
2025-01-06,17.3,20.3596,16.66,18.09,37448553.0
2025-01-07,17.97,18.1,16.37,17.49,28404773.0
2025-01-08,11.7,12.73,8.5,9.91,61521246.0
2025-01-10,10.27,10.45,8.8,8.98,24532232.0
2025-01-13,8.01,8.58,6.41,6.52,30922957.0
2025-01-14,7.15,8.05,6.59,7.43,36902921.0
2025-01-15,8.76,11.6,8.51,11.55,92595580.0
2025-01-16,12.35,12.7,10.22,10.88,83968532.0
2025-01-17,10.12,10.6,9.46,9.83,35076505.0
2025-01-21,9.935,11.5,9.8,11.49,39144556.0
2025-01-22,12.075,12.47,10.91,11.1,24388268.0
2025-01-23,10.72,11.94,10.55,11.12,16807626.0
2025-01-24,11.21,12.48,10.75,10.93,31537646.0
2025-01-27,9.96,10.78,9.49,9.94,13620020.0
2025-01-28,10.22,10.36,9.26,10.2,11634515.0
2025-01-29,10.0,10.45,9.72,10.13,9245266.0
2025-01-30,10.16,10.66,9.79,10.0,9229081.0
2025-01-31,10.01,11.45,9.95,10.38,19983054.0
2025-02-03,9.75,10.2,9.37,9.95,10523567.0
2025-02-04,10.19,10.55,9.5,9.85,23543724.0
2025-02-05,9.83,10.1,9.4,9.87,12995020.0
2025-02-06,9.97,10.34,9.43,9.57,12368289.0
2025-02-07,9.67,10.09,9.07,9.28,15589678.0
2025-02-10,9.0,9.17,8.62,8.71,12200452.0
2025-02-11,8.63,8.69,7.86,7.87,10928840.0
2025-02-12,7.75,8.42,7.715,8.26,10816200.0
2025-02-13,8.3,8.56,8.03,8.28,11235965.0
2025-02-14,8.26,8.32,7.7807,7.95,10817646.0
2025-02-18,7.8,7.8,7.12,7.38,10635704.0
2025-02-19,7.38,8.4,7.17,7.96,22167649.0
2025-02-20,8.52,8.65,7.9332,8.09,17165278.0
2025-02-21,7.92,8.64,7.47,7.49,12493480.0
2025-02-24,7.405,7.4487,6.83,6.86,8117096.0
2025-02-25,6.73,6.97,6.3308,6.49,7381289.0
2025-02-26,6.7,7.14,6.65,6.85,6001550.0
2025-02-27,6.74,6.97,6.14,6.185,6071428.0
2025-02-28,6.0,6.32,5.86,6.065,5772915.0
2025-03-03,6.14,6.28,5.33,5.43,7971870.0
2025-03-04,5.02,5.46,5.01,5.26,9101069.0
2025-03-05,5.29,5.395,5.015,5.28,6843351.0
2025-03-06,5.02,5.235,4.71,4.87,7837947.0
2025-03-07,4.85,5.1795,4.75,5.03,6725162.0
2025-03-10,4.89,4.97,4.45,4.52,6642179.0
2025-03-11,4.48,4.83,4.3732,4.73,5841674.0
2025-03-12,5.01,5.47,4.855,5.42,10708133.0
2025-03-13,5.45,5.86,5.38,5.49,14217772.0
2025-03-14,6.025,7.11,5.82,7.09,38460720.0
2025-03-17,8.52,8.58,7.74,8.02,60997811.0
2025-03-18,7.5,9.3,7.25,8.63,75146843.0
2025-03-19,8.65,9.0,7.931,8.37,33615963.0
2025-03-20,8.04,8.37,7.055,7.39,29236431.0
2025-03-21,6.51,7.72,6.33,7.39,21849915.0
2025-03-24,7.75,8.79,7.67,8.75,20693302.0
2025-03-25,8.63,9.03,8.23,8.48,16049942.0
2025-03-26,8.56,8.88,7.8,8.01,13515412.0
2025-03-27,7.88,7.9981,7.58,7.94,9082920.0
2025-03-28,7.725,8.54,7.305,8.45,17247397.0
