Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-25,138.32,support,buy,2024-07-26,139.99,2024-07-26 15:50:00,
2024-07-31,144.48,resistance,sell,2024-08-01,132.54,2024-08-01 15:50:00,
2024-08-07,128.67,support,buy,2024-08-08,136.32,2024-08-08 15:50:00,
2024-08-21,157.81,resistance,sell,2024-08-22,151.7,2024-08-22 15:50:00,
2024-09-06,134.35,support,buy,2024-09-09,138.15,2024-09-09 15:50:00,
2024-09-18,148.29,support,,2024-09-19,156.74,2024-09-19 15:50:00,
2024-09-26,167.49,resistance,sell,2024-09-27,164.35,2024-09-27 15:50:00,
2024-10-01,159.75,support,buy,2024-10-02,159.78,2024-10-02 15:50:00,
2024-10-08,172.8,resistance,sell,2024-10-09,171.02,2024-10-09 15:50:00,
2024-10-21,157.9,resistance,,2024-10-22,154.09,2024-10-22 15:50:00,
2024-10-23,152.91,support,buy,2024-10-24,153.44,2024-10-24 15:50:00,
2024-10-29,166.25,resistance,sell,2024-10-30,148.6,2024-10-30 15:50:00,
2024-11-04,140.71,support,buy,2024-11-05,141.66,2024-11-05 15:50:00,
2024-11-07,149.82,resistance,sell,2024-11-08,147.95,2024-11-08 15:50:00,
2024-11-15,134.9,support,buy,2024-11-18,138.93,2024-11-18 15:50:00,
2024-11-27,136.24,support,,2024-11-29,137.18,2024-11-29 15:50:00,
2024-12-04,143.99,resistance,sell,2024-12-05,141.36,2024-12-05 15:50:00,
2024-12-19,118.88,support,buy,2024-12-20,119.21,2024-12-20 15:50:00,
2024-12-24,126.29,resistance,sell,2024-12-26,125.06,2024-12-26 15:50:00,
2025-01-02,120.63,support,buy,2025-01-03,125.37,2025-01-03 15:50:00,
2025-01-06,129.55,resistance,sell,2025-01-07,127.33,2025-01-07 15:50:00,
2025-01-10,116.04,support,buy,2025-01-13,117.32,2025-01-13 15:50:00,
2025-01-22,123.75,resistance,sell,2025-01-23,123.04,2025-01-23 15:50:00,
2025-01-28,114.17,support,buy,2025-01-29,117.35,2025-01-29 15:50:00,
2025-02-04,119.5,resistance,sell,2025-02-05,112.01,2025-02-05 15:50:00,
2025-02-07,107.56,support,buy,2025-02-10,110.48,2025-02-10 15:50:00,
2025-02-19,114.69,resistance,sell,2025-02-20,114.17,2025-02-20 15:50:00,
2025-03-03,98.23,support,buy,2025-03-04,100.75,2025-03-04 15:50:00,
2025-03-05,101.67,resistance,sell,2025-03-06,98.85,2025-03-06 15:50:00,
2025-03-10,96.63,support,buy,2025-03-11,96.76,2025-03-11 15:50:00,
2025-03-25,114.81,resistance,sell,2025-03-26,110.19,2025-03-26 15:50:00,
2025-04-08,78.21,support,buy,2025-04-09,96.84,2025-04-09 15:50:00,
2025-04-09,96.84,resistance,sell,2025-04-10,88.7,2025-04-10 15:50:00,
2025-04-21,85.56,support,buy,2025-04-22,86.26,2025-04-22 15:50:00,
2025-05-14,117.72,resistance,sell,2025-05-15,114.99,2025-05-15 15:50:00,
2025-05-23,110.31,support,buy,2025-05-27,114.56,2025-05-27 15:50:00,
2025-06-13,116.16,support,,2025-06-16,126.39,2025-06-16 15:50:00,
2025-06-27,143.81,resistance,sell,2025-06-30,141.9,2025-06-30 15:50:00,
2025-07-07,134.8,support,buy,2025-07-08,137.82,2025-07-08 15:50:00,
2025-07-17,160.41,resistance,sell,2025-07-18,156.99,2025-07-18 15:50:00,
