Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-25,453.41,support,buy,2024-07-26,465.7,2024-07-26 15:50:00,
2024-08-15,537.33,resistance,sell,2024-08-16,527.42,2024-08-16 15:50:00,
2024-09-06,500.27,support,buy,2024-09-09,504.79,2024-09-09 15:50:00,
2024-10-04,595.94,resistance,sell,2024-10-07,584.78,2024-10-07 15:50:00,
2024-10-29,593.28,resistance,,2024-10-30,591.8,2024-10-30 15:50:00,
2024-11-15,554.08,support,buy,2024-11-18,554.4,2024-11-18 15:50:00,
2024-12-11,632.68,resistance,sell,2024-12-12,630.79,2024-12-12 15:50:00,
2024-12-20,585.25,support,buy,2024-12-23,599.85,2024-12-23 15:50:00,
2025-01-06,630.2,resistance,sell,2025-01-07,617.89,2025-01-07 15:50:00,
2025-02-14,736.67,resistance,,2025-02-18,716.37,2025-02-18 15:50:00,
2025-03-25,626.31,resistance,,2025-03-26,610.98,2025-03-26 15:50:00,
2025-04-21,484.66,support,buy,2025-04-22,500.28,2025-04-22 15:50:00,
2025-05-14,659.36,resistance,sell,2025-05-15,643.88,2025-05-15 15:50:00,
2025-05-23,627.06,support,buy,2025-05-27,642.32,2025-05-27 15:50:00,
2025-06-20,682.35,support,,2025-06-23,698.53,2025-06-23 15:50:00,
2025-06-30,738.09,resistance,sell,2025-07-01,719.22,2025-07-01 15:50:00,
2025-07-17,701.41,support,buy,2025-07-18,704.28,2025-07-18 15:50:00,
