Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-23,444.85,resistance,,2024-07-24,428.9,2024-07-24 15:50:00,
2024-08-05,395.15,support,buy,2024-08-06,399.61,2024-08-06 15:50:00,
2024-08-20,424.8,resistance,sell,2024-08-21,424.14,2024-08-21 15:50:00,
2024-08-30,417.14,resistance,,2024-09-03,409.44,2024-09-03 15:50:00,
2024-09-06,401.7,support,buy,2024-09-09,405.72,2024-09-09 15:50:00,
2024-09-19,438.69,resistance,sell,2024-09-20,435.27,2024-09-20 15:50:00,
2024-10-07,409.54,support,buy,2024-10-08,414.71,2024-10-08 15:50:00,
2024-10-14,419.14,resistance,sell,2024-10-15,418.74,2024-10-15 15:50:00,
2024-10-30,432.53,resistance,,2024-10-31,406.35,2024-10-31 15:50:00,
2024-10-31,406.35,support,buy,2024-11-01,410.37,2024-11-01 15:50:00,
2024-11-07,425.43,resistance,sell,2024-11-08,422.54,2024-11-08 15:50:00,
2024-11-14,426.89,resistance,,2024-11-15,415.0,2024-11-15 15:50:00,
2024-11-21,412.87,support,buy,2024-11-22,417.0,2024-11-22 15:50:00,
2024-12-17,454.46,resistance,sell,2024-12-18,437.39,2024-12-18 15:50:00,
2024-12-24,439.33,resistance,,2024-12-26,438.11,2024-12-26 15:50:00,
2025-01-02,418.58,support,buy,2025-01-03,423.35,2025-01-03 15:50:00,
2025-01-06,427.85,resistance,sell,2025-01-07,422.37,2025-01-07 15:50:00,
2025-01-14,415.67,support,buy,2025-01-15,426.31,2025-01-15 15:50:00,
2025-01-28,447.2,resistance,sell,2025-01-29,442.33,2025-01-29 15:50:00,
2025-02-06,415.82,resistance,,2025-02-07,409.75,2025-02-07 15:50:00,
2025-02-20,416.13,resistance,,2025-02-21,408.21,2025-02-21 15:50:00,
2025-03-03,388.49,support,buy,2025-03-04,388.61,2025-03-04 15:50:00,
2025-03-05,401.02,resistance,sell,2025-03-06,396.89,2025-03-06 15:50:00,
2025-03-13,378.77,support,buy,2025-03-14,388.56,2025-03-14 15:50:00,
2025-03-25,395.16,resistance,sell,2025-03-26,389.97,2025-03-26 15:50:00,
2025-04-08,354.56,support,buy,2025-04-09,390.49,2025-04-09 15:50:00,
2025-04-09,390.49,resistance,sell,2025-04-10,381.35,2025-04-10 15:50:00,
2025-04-21,359.12,support,buy,2025-04-22,366.82,2025-04-22 15:50:00,
2025-05-19,458.87,resistance,sell,2025-05-20,458.17,2025-05-20 15:50:00,
2025-05-23,450.18,support,buy,2025-05-27,460.69,2025-05-27 15:50:00,
2025-06-26,497.45,resistance,sell,2025-06-27,495.94,2025-06-27 15:50:00,
2025-07-02,491.09,support,buy,2025-07-03,498.84,2025-07-03 15:50:00,
2025-07-17,511.7,resistance,sell,2025-07-18,510.05,2025-07-18 15:50:00,
