Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-08-05,598.55,support,buy,2024-08-06,609.57,2024-08-06 15:50:00,
2024-08-30,701.35,resistance,sell,2024-09-03,675.32,2024-09-03 15:50:00,
2024-09-06,665.77,support,buy,2024-09-09,675.42,2024-09-09 15:50:00,
2024-09-24,722.26,resistance,sell,2024-09-25,721.56,2024-09-25 15:50:00,
2024-10-17,687.65,support,buy,2024-10-18,763.89,2024-10-18 15:50:00,
2024-10-21,772.07,resistance,sell,2024-10-22,764.24,2024-10-22 15:50:00,
2024-12-11,936.56,resistance,,2024-12-12,925.55,2024-12-12 15:50:00,
2024-12-18,889.55,support,buy,2024-12-19,902.04,2024-12-19 15:50:00,
2024-12-24,932.12,resistance,sell,2024-12-26,924.14,2024-12-26 15:50:00,
2025-01-14,828.4,support,buy,2025-01-15,848.26,2025-01-15 15:50:00,
2025-02-14,1058.6,resistance,sell,2025-02-18,1035.85,2025-02-18 15:50:00,
2025-03-10,866.68,support,buy,2025-03-11,895.1,2025-03-11 15:50:00,
2025-03-25,997.28,resistance,sell,2025-03-26,970.65,2025-03-26 15:50:00,
2025-04-04,855.86,support,buy,2025-04-07,867.83,2025-04-07 15:50:00,
2025-05-02,1156.49,resistance,sell,2025-05-05,1134.06,2025-05-05 15:50:00,
2025-05-12,1110.0,support,buy,2025-05-13,1138.44,2025-05-13 15:50:00,
2025-05-29,1184.86,support,,2025-05-30,1207.23,2025-05-30 15:50:00,
2025-06-05,1250.52,resistance,sell,2025-06-06,1241.48,2025-06-06 15:50:00,
2025-06-30,1339.13,resistance,,2025-07-01,1293.6,2025-07-01 15:50:00,
2025-07-18,1209.24,support,buy,2025-07-21,1221.25,2025-07-21 15:50:00,
