Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-31,117.02,resistance,,2024-08-01,109.21,2024-08-01 15:50:00,
2024-08-07,98.91,support,buy,2024-08-08,104.97,2024-08-08 15:50:00,
2024-08-19,130.0,resistance,sell,2024-08-20,127.25,2024-08-20 15:50:00,
2024-09-06,102.83,support,buy,2024-09-09,106.47,2024-09-09 15:50:00,
2024-09-12,119.14,resistance,sell,2024-09-13,119.1,2024-09-13 15:50:00,
2024-09-18,113.37,support,buy,2024-09-19,117.87,2024-09-19 15:50:00,
2024-09-26,124.04,resistance,sell,2024-09-27,121.4,2024-09-27 15:50:00,
2024-10-01,117.0,support,buy,2024-10-02,118.85,2024-10-02 15:50:00,
2024-10-15,131.6,support,,2024-10-16,135.72,2024-10-16 15:50:00,
2024-10-21,143.71,resistance,sell,2024-10-22,143.59,2024-10-22 15:50:00,
2024-10-31,132.76,support,buy,2024-11-01,135.4,2024-11-01 15:50:00,
2024-11-07,148.88,resistance,sell,2024-11-08,147.63,2024-11-08 15:50:00,
2024-11-27,135.34,support,buy,2024-11-29,138.25,2024-11-29 15:50:00,
2024-12-04,145.14,resistance,sell,2024-12-05,145.06,2024-12-05 15:50:00,
2024-12-18,128.91,support,buy,2024-12-19,130.68,2024-12-19 15:50:00,
2024-12-24,140.22,resistance,sell,2024-12-26,139.93,2024-12-26 15:50:00,
2024-12-31,134.29,support,buy,2025-01-02,138.31,2025-01-02 15:50:00,
2025-01-06,149.43,resistance,sell,2025-01-07,140.14,2025-01-07 15:50:00,
2025-01-14,131.76,support,buy,2025-01-15,136.24,2025-01-15 15:50:00,
2025-01-23,147.22,resistance,sell,2025-01-24,142.62,2025-01-24 15:50:00,
2025-02-03,116.66,support,buy,2025-02-04,118.65,2025-02-04 15:50:00,
2025-02-20,140.11,resistance,sell,2025-02-21,134.43,2025-02-21 15:50:00,
2025-03-10,106.98,support,buy,2025-03-11,108.76,2025-03-11 15:50:00,
2025-03-14,121.67,resistance,sell,2025-03-17,119.53,2025-03-17 15:50:00,
2025-03-24,121.41,resistance,,2025-03-25,120.69,2025-03-25 15:50:00,
2025-04-04,94.31,support,buy,2025-04-07,97.64,2025-04-07 15:50:00,
2025-04-09,114.33,resistance,sell,2025-04-10,107.57,2025-04-10 15:50:00,
2025-04-21,96.91,support,buy,2025-04-22,98.89,2025-04-22 15:50:00,
2025-05-19,135.57,resistance,sell,2025-05-20,134.38,2025-05-20 15:50:00,
2025-05-23,131.29,support,buy,2025-05-27,135.5,2025-05-27 15:50:00,
2025-07-17,173.0,resistance,sell,2025-07-18,172.41,2025-07-18 15:50:00,
