Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-07-24,0.6552,support,buy,2024-07-25,0.6782,2024-07-25 15:50:00,
2024-07-26,0.7364,resistance,sell,2024-07-29,0.7135,2024-07-29 15:50:00,
2024-08-02,0.5981,support,buy,2024-08-05,0.6175,2024-08-05 15:50:00,
2024-08-12,0.581,support,,2024-08-13,0.6151,2024-08-13 15:50:00,
2024-08-26,0.701,resistance,sell,2024-08-27,0.6599,2024-08-27 15:50:00,
2024-08-28,0.609,support,buy,2024-08-29,0.658,2024-08-29 15:50:00,
2024-09-09,0.59,support,,2024-09-10,0.5972,2024-09-10 15:50:00,
2024-09-12,0.71,resistance,sell,2024-09-13,0.6989,2024-09-13 15:50:00,
2024-09-18,0.6663,support,buy,2024-09-19,0.7156,2024-09-19 15:50:00,
2024-09-19,0.7156,resistance,sell,2024-09-20,0.6969,2024-09-20 15:50:00,
2024-10-01,0.644,support,buy,2024-10-02,0.6601,2024-10-02 15:50:00,
2024-10-10,0.6598,support,,2024-10-11,0.6916,2024-10-11 15:50:00,
2024-10-21,1.14,resistance,sell,2024-10-22,1.13,2024-10-22 15:50:00,
2024-10-28,1.28,resistance,,2024-10-29,1.22,2024-10-29 15:50:00,
2024-11-04,1.05,support,buy,2024-11-05,1.16,2024-11-05 15:50:00,
2024-11-14,4.4,resistance,sell,2024-11-15,3.1,2024-11-15 15:50:00,
2024-11-25,7.7,resistance,,2024-11-26,6.65,2024-11-26 15:50:00,
2024-12-02,6.11,support,buy,2024-12-03,6.17,2024-12-03 15:50:00,
2024-12-06,7.93,resistance,sell,2024-12-09,7.47,2024-12-09 15:50:00,
2024-12-12,6.36,support,buy,2024-12-13,6.705,2024-12-13 15:50:00,
2024-12-18,25.68,resistance,sell,2024-12-19,15.14,2024-12-19 15:50:00,
2024-12-26,19.24,resistance,,2024-12-27,18.35,2024-12-27 15:50:00,
2024-12-31,16.55,support,buy,2025-01-02,18.755,2025-01-02 15:50:00,
2025-01-13,6.52,support,,2025-01-14,7.43,2025-01-14 15:50:00,
2025-01-15,11.55,resistance,sell,2025-01-16,10.88,2025-01-16 15:50:00,
2025-01-27,9.94,support,buy,2025-01-28,10.2,2025-01-28 15:50:00,
2025-01-31,10.38,resistance,sell,2025-02-03,9.95,2025-02-03 15:50:00,
2025-03-10,4.52,support,buy,2025-03-11,4.73,2025-03-11 15:50:00,
2025-03-24,8.75,resistance,sell,2025-03-25,8.48,2025-03-25 15:50:00,
2025-04-08,6.21,support,buy,2025-04-09,6.85,2025-04-09 15:50:00,
2025-04-14,6.99,resistance,sell,2025-04-15,6.83,2025-04-15 15:50:00,
2025-04-21,5.87,support,buy,2025-04-22,5.94,2025-04-22 15:50:00,
2025-04-30,6.74,support,,2025-05-01,7.02,2025-05-01 15:50:00,
2025-05-16,12.87,resistance,sell,2025-05-19,11.83,2025-05-19 15:50:00,
2025-05-23,13.31,resistance,,2025-05-27,13.0,2025-05-27 15:50:00,
2025-05-30,11.325,support,buy,2025-06-02,11.8,2025-06-02 15:50:00,
2025-06-16,21.22,resistance,sell,2025-06-17,19.79,2025-06-17 15:50:00,
2025-06-25,16.74,support,buy,2025-06-26,16.79,2025-06-26 15:50:00,
2025-07-03,21.13,resistance,sell,2025-07-07,19.88,2025-07-07 15:50:00,
2025-07-11,17.43,support,buy,2025-07-14,18.94,2025-07-14 15:50:00,
2025-07-17,19.77,resistance,sell,2025-07-18,19.51,2025-07-18 15:50:00,
