Date high/low,Level high/low,Supp/Resist,Long Action,Long Date detected,Level Close,Long Trade Day,Level trade
2024-08-07,191.76,support,buy,2024-08-08,198.84,2024-08-08 15:50:00,
2024-08-21,223.27,resistance,sell,2024-08-22,210.66,2024-08-22 15:50:00,
2024-08-28,205.75,support,buy,2024-08-29,206.28,2024-08-29 15:50:00,
2024-09-30,261.63,resistance,sell,2024-10-01,258.02,2024-10-01 15:50:00,
2024-10-23,213.65,support,buy,2024-10-24,260.48,2024-10-24 15:50:00,
2024-12-17,479.86,resistance,sell,2024-12-18,440.13,2024-12-18 15:50:00,
2025-01-02,379.28,support,buy,2025-01-03,410.44,2025-01-03 15:50:00,
2025-01-15,428.22,resistance,sell,2025-01-16,413.82,2025-01-16 15:50:00,
2025-03-10,222.15,support,buy,2025-03-11,230.58,2025-03-11 15:50:00,
2025-03-25,288.14,resistance,sell,2025-03-26,272.06,2025-03-26 15:50:00,
2025-04-08,221.86,support,buy,2025-04-09,272.2,2025-04-09 15:50:00,
2025-05-27,362.89,resistance,sell,2025-05-28,356.9,2025-05-28 15:50:00,
2025-06-05,284.7,support,buy,2025-06-06,295.14,2025-06-06 15:50:00,
2025-06-23,348.68,resistance,sell,2025-06-24,340.47,2025-06-24 15:50:00,
2025-07-07,293.94,support,buy,2025-07-08,297.81,2025-07-08 15:50:00,
2025-07-18,329.65,resistance,sell,2025-07-21,329.16,2025-07-21 15:50:00,
