Date high/low,Level high/low,Supp/Resist,Short Action,Short Date detected,Level Close,Short Trade Day,Level trade
2024-07-23,225.01,resistance,short,2024-07-24,218.54,2024-07-24 15:50:00,
2024-07-25,217.49,support,cover,2024-07-26,217.96,2024-07-26 15:50:00,
2024-07-31,222.08,resistance,short,2024-08-01,218.36,2024-08-01 15:50:00,
2024-08-06,207.23,support,cover,2024-08-07,209.82,2024-08-07 15:50:00,
2024-08-22,224.53,support,,2024-08-23,226.84,2024-08-23 15:50:00,
2024-08-29,229.79,resistance,short,2024-08-30,229.0,2024-08-30 15:50:00,
2024-09-12,222.77,resistance,,2024-09-13,222.5,2024-09-13 15:50:00,
2024-09-16,216.32,support,cover,2024-09-17,216.79,2024-09-17 15:50:00,
2024-09-19,228.87,resistance,short,2024-09-20,228.2,2024-09-20 15:50:00,
2024-09-30,233.0,resistance,,2024-10-01,226.21,2024-10-01 15:50:00,
2024-10-07,221.69,support,cover,2024-10-08,225.77,2024-10-08 15:50:00,
2024-10-21,236.48,resistance,short,2024-10-22,235.86,2024-10-22 15:50:00,
2024-10-29,233.67,resistance,,2024-10-30,230.1,2024-10-30 15:50:00,
2024-11-04,222.01,support,cover,2024-11-05,223.45,2024-11-05 15:50:00,
2024-11-07,227.48,resistance,short,2024-11-08,226.96,2024-11-08 15:50:00,
2024-12-26,259.02,resistance,,2024-12-27,255.59,2024-12-27 15:50:00,
2025-01-21,222.64,support,cover,2025-01-22,223.83,2025-01-22 15:50:00,
2025-01-29,239.36,resistance,short,2025-01-30,237.59,2025-01-30 15:50:00,
2025-02-07,227.63,support,cover,2025-02-10,227.65,2025-02-10 15:50:00,
2025-02-24,247.1,resistance,short,2025-02-25,247.04,2025-02-25 15:50:00,
2025-03-07,239.07,resistance,,2025-03-10,227.48,2025-03-10 15:50:00,
2025-03-13,209.68,support,cover,2025-03-14,213.49,2025-03-14 15:50:00,
2025-04-02,223.89,resistance,short,2025-04-03,203.19,2025-04-03 15:50:00,
2025-04-08,172.42,support,cover,2025-04-09,198.85,2025-04-09 15:50:00,
2025-04-14,202.52,resistance,short,2025-04-15,202.14,2025-04-15 15:50:00,
2025-04-21,193.16,support,cover,2025-04-22,199.74,2025-04-22 15:50:00,
2025-05-01,213.32,resistance,short,2025-05-02,205.35,2025-05-02 15:50:00,
2025-05-07,196.25,support,cover,2025-05-08,197.49,2025-05-08 15:50:00,
2025-05-13,212.93,resistance,short,2025-05-14,212.33,2025-05-14 15:50:00,
2025-05-23,195.27,support,cover,2025-05-27,200.21,2025-05-27 15:50:00,
2025-06-06,203.92,resistance,short,2025-06-09,201.45,2025-06-09 15:50:00,
2025-06-17,195.64,support,cover,2025-06-18,196.58,2025-06-18 15:50:00,
2025-07-03,213.55,resistance,short,2025-07-07,209.95,2025-07-07 15:50:00,
2025-07-14,208.62,support,cover,2025-07-15,209.11,2025-07-15 15:50:00,
