Date high/low,Level high/low,Supp/Resist,Short Action,Short Date detected,Level Close,Short Trade Day,Level trade
2024-08-05,15.15,support,,2024-08-06,16.07,2024-08-06 15:50:00,
2024-08-13,17.24,resistance,short,2024-08-14,16.68,2024-08-14 15:50:00,
2024-08-15,16.16,support,cover,2024-08-16,16.91,2024-08-16 15:50:00,
2024-08-23,18.04,resistance,short,2024-08-26,17.95,2024-08-26 15:50:00,
2024-09-06,15.15,support,cover,2024-09-09,16.2,2024-09-09 15:50:00,
2024-09-27,18.59,resistance,short,2024-09-30,17.98,2024-09-30 15:50:00,
2024-10-02,17.04,support,cover,2024-10-03,17.28,2024-10-03 15:50:00,
2024-10-10,16.9,support,,2024-10-11,17.88,2024-10-11 15:50:00,
2024-10-18,19.43,resistance,short,2024-10-21,19.2,2024-10-21 15:50:00,
2024-10-23,18.81,support,cover,2024-10-24,19.33,2024-10-24 15:50:00,
2024-10-29,20.53,resistance,short,2024-10-30,20.34,2024-10-30 15:50:00,
2024-11-04,19.04,support,cover,2024-11-05,19.64,2024-11-05 15:50:00,
2024-11-22,28.08,resistance,short,2024-11-25,26.85,2024-11-25 15:50:00,
2024-11-26,25.73,support,cover,2024-11-27,27.37,2024-11-27 15:50:00,
2024-12-17,30.22,resistance,short,2024-12-18,28.46,2024-12-18 15:50:00,
2024-12-23,26.31,support,cover,2024-12-24,27.98,2024-12-24 15:50:00,
2025-01-06,28.95,resistance,short,2025-01-07,27.26,2025-01-07 15:50:00,
2025-01-13,26.49,support,cover,2025-01-14,27.3,2025-01-14 15:50:00,
2025-01-21,30.06,resistance,short,2025-01-22,29.53,2025-01-22 15:50:00,
2025-01-30,29.71,resistance,,2025-01-31,28.74,2025-01-31 15:50:00,
2025-02-20,27.87,resistance,,2025-02-21,26.82,2025-02-21 15:50:00,
2025-02-27,23.58,support,cover,2025-02-28,23.81,2025-02-28 15:50:00,
2025-03-05,25.61,resistance,short,2025-03-06,25.19,2025-03-06 15:50:00,
2025-03-10,22.34,support,cover,2025-03-11,23.48,2025-03-11 15:50:00,
2025-03-24,24.96,resistance,short,2025-03-25,24.94,2025-03-25 15:50:00,
2025-04-08,21.72,support,cover,2025-04-09,23.27,2025-04-09 15:50:00,
2025-05-22,31.47,resistance,short,2025-05-23,30.77,2025-05-23 15:50:00,
2025-06-05,28.8,support,cover,2025-06-06,29.48,2025-06-06 15:50:00,
2025-06-10,30.99,resistance,short,2025-06-11,30.78,2025-06-11 15:50:00,
2025-06-23,29.18,support,cover,2025-06-24,29.88,2025-06-24 15:50:00,
2025-07-01,29.79,support,,2025-07-02,31.04,2025-07-02 15:50:00,
2025-07-14,33.92,resistance,short,2025-07-15,32.93,2025-07-15 15:50:00,
