Date high/low,Level high/low,Supp/Resist,Short Action,Short Date detected,Level Close,Short Trade Day,Level trade
2024-07-22,33.37,resistance,short,2024-07-23,32.95,2024-07-23 15:50:00,
2024-08-07,18.99,support,cover,2024-08-08,20.49,2024-08-08 15:50:00,
2024-08-30,22.04,resistance,short,2024-09-03,20.1,2024-09-03 15:50:00,
2024-09-06,18.89,support,cover,2024-09-09,19.07,2024-09-09 15:50:00,
2024-09-26,23.92,resistance,short,2024-09-27,23.91,2024-09-27 15:50:00,
2024-10-31,21.52,support,cover,2024-11-01,23.2,2024-11-01 15:50:00,
2024-11-07,26.23,resistance,short,2024-11-08,26.2,2024-11-08 15:50:00,
2024-12-19,19.06,support,cover,2024-12-20,19.52,2024-12-20 15:50:00,
2025-01-10,19.15,support,,2025-01-13,19.2,2025-01-13 15:50:00,
2025-01-22,21.86,resistance,short,2025-01-23,21.57,2025-01-23 15:50:00,
2025-02-07,19.1,support,cover,2025-02-10,19.77,2025-02-10 15:50:00,
2025-02-18,27.39,resistance,short,2025-02-19,25.72,2025-02-19 15:50:00,
2025-03-11,19.78,support,cover,2025-03-12,20.68,2025-03-12 15:50:00,
2025-03-18,25.92,resistance,short,2025-03-19,24.12,2025-03-19 15:50:00,
2025-04-08,18.13,support,cover,2025-04-09,21.53,2025-04-09 15:50:00,
2025-05-13,22.56,resistance,short,2025-05-14,21.52,2025-05-14 15:50:00,
2025-05-30,19.55,support,cover,2025-06-02,19.74,2025-06-02 15:50:00,
2025-07-10,23.82,resistance,short,2025-07-11,23.43,2025-07-11 15:50:00,
