Date high/low,Level high/low,Supp/Resist,Short Action,Short Date detected,Level Close,Short Trade Day,Level trade
2024-07-23,488.69,resistance,short,2024-07-24,461.27,2024-07-24 15:50:00,
2024-07-25,453.41,support,cover,2024-07-26,465.7,2024-07-26 15:50:00,
2024-08-15,537.33,resistance,short,2024-08-16,527.42,2024-08-16 15:50:00,
2024-09-06,500.27,support,cover,2024-09-09,504.79,2024-09-09 15:50:00,
2024-10-04,595.94,resistance,short,2024-10-07,584.78,2024-10-07 15:50:00,
2024-10-23,563.69,support,cover,2024-10-24,567.78,2024-10-24 15:50:00,
2024-10-29,593.28,resistance,short,2024-10-30,591.8,2024-10-30 15:50:00,
2024-11-04,560.68,support,cover,2024-11-05,572.43,2024-11-05 15:50:00,
2024-11-07,591.7,resistance,short,2024-11-08,589.34,2024-11-08 15:50:00,
2024-11-15,554.08,support,cover,2024-11-18,554.4,2024-11-18 15:50:00,
2024-12-11,632.68,resistance,short,2024-12-12,630.79,2024-12-12 15:50:00,
2024-12-20,585.25,support,cover,2024-12-23,599.85,2024-12-23 15:50:00,
2024-12-31,585.51,support,,2025-01-02,599.24,2025-01-02 15:50:00,
2025-01-06,630.2,resistance,short,2025-01-07,617.89,2025-01-07 15:50:00,
2025-01-14,594.25,support,cover,2025-01-15,617.12,2025-01-15 15:50:00,
2025-02-14,736.67,resistance,short,2025-02-18,716.37,2025-02-18 15:50:00,
2025-03-18,582.36,support,cover,2025-03-19,584.06,2025-03-19 15:50:00,
2025-03-25,626.31,resistance,short,2025-03-26,610.98,2025-03-26 15:50:00,
2025-04-04,504.73,support,cover,2025-04-07,516.25,2025-04-07 15:50:00,
2025-04-09,585.77,resistance,short,2025-04-10,546.29,2025-04-10 15:50:00,
2025-04-21,484.66,support,cover,2025-04-22,500.28,2025-04-22 15:50:00,
2025-05-14,659.36,resistance,short,2025-05-15,643.88,2025-05-15 15:50:00,
2025-05-23,627.06,support,cover,2025-05-27,642.32,2025-05-27 15:50:00,
2025-06-10,702.4,resistance,short,2025-06-11,694.14,2025-06-11 15:50:00,
2025-06-20,682.35,support,cover,2025-06-23,698.53,2025-06-23 15:50:00,
2025-06-30,738.09,resistance,short,2025-07-01,719.22,2025-07-01 15:50:00,
2025-07-09,732.78,resistance,,2025-07-10,727.24,2025-07-10 15:50:00,
2025-07-17,701.41,support,cover,2025-07-18,704.28,2025-07-18 15:50:00,
