Date high/low,Level high/low,Supp/Resist,Short Action,Short Date detected,Level Close,Short Trade Day,Level trade
2024-07-24,215.99,support,,2024-07-25,220.25,2024-07-25 15:50:00,
2024-08-07,191.76,support,,2024-08-08,198.84,2024-08-08 15:50:00,
2024-08-21,223.27,resistance,short,2024-08-22,210.66,2024-08-22 15:50:00,
2024-08-28,205.75,support,cover,2024-08-29,206.28,2024-08-29 15:50:00,
2024-09-05,230.17,resistance,short,2024-09-06,210.73,2024-09-06 15:50:00,
2024-09-30,261.63,resistance,,2024-10-01,258.02,2024-10-01 15:50:00,
2024-10-03,240.66,support,cover,2024-10-04,250.08,2024-10-04 15:50:00,
2024-10-11,217.8,support,,2024-10-14,219.16,2024-10-14 15:50:00,
2024-10-23,213.65,support,,2024-10-24,260.48,2024-10-24 15:50:00,
2024-10-25,269.19,resistance,short,2024-10-28,262.51,2024-10-28 15:50:00,
2024-11-04,242.84,support,cover,2024-11-05,251.44,2024-11-05 15:50:00,
2024-11-11,350.0,resistance,short,2024-11-12,328.49,2024-11-12 15:50:00,
2024-11-14,311.18,support,cover,2024-11-15,320.72,2024-11-15 15:50:00,
2024-11-22,352.56,resistance,short,2024-11-25,338.59,2024-11-25 15:50:00,
2024-11-27,332.89,support,cover,2024-11-29,345.16,2024-11-29 15:50:00,
2024-12-17,479.86,resistance,short,2024-12-18,440.13,2024-12-18 15:50:00,
2024-12-20,421.06,support,cover,2024-12-23,430.6,2024-12-23 15:50:00,
2024-12-24,462.28,resistance,short,2024-12-26,454.13,2024-12-26 15:50:00,
2025-01-02,379.28,support,cover,2025-01-03,410.44,2025-01-03 15:50:00,
2025-01-15,428.22,resistance,short,2025-01-16,413.82,2025-01-16 15:50:00,
2025-01-31,404.6,resistance,,2025-02-03,383.68,2025-02-03 15:50:00,
2025-02-11,328.5,support,cover,2025-02-12,336.51,2025-02-12 15:50:00,
2025-02-19,360.56,resistance,short,2025-02-20,354.4,2025-02-20 15:50:00,
2025-03-10,222.15,support,cover,2025-03-11,230.58,2025-03-11 15:50:00,
2025-03-14,249.98,resistance,short,2025-03-17,238.01,2025-03-17 15:50:00,
2025-03-18,225.31,support,cover,2025-03-19,235.86,2025-03-19 15:50:00,
2025-03-25,288.14,resistance,short,2025-03-26,272.06,2025-03-26 15:50:00,
2025-04-02,282.76,resistance,,2025-04-03,267.28,2025-04-03 15:50:00,
2025-04-08,221.86,support,cover,2025-04-09,272.2,2025-04-09 15:50:00,
2025-04-09,272.2,resistance,short,2025-04-10,252.4,2025-04-10 15:50:00,
2025-04-21,227.5,support,cover,2025-04-22,237.97,2025-04-22 15:50:00,
2025-04-29,292.03,resistance,short,2025-04-30,282.16,2025-04-30 15:50:00,
2025-05-06,275.35,support,cover,2025-05-07,276.22,2025-05-07 15:50:00,
2025-05-16,349.98,resistance,short,2025-05-19,342.09,2025-05-19 15:50:00,
2025-05-21,334.62,support,cover,2025-05-22,341.04,2025-05-22 15:50:00,
2025-05-27,362.89,resistance,short,2025-05-28,356.9,2025-05-28 15:50:00,
2025-06-05,284.7,support,cover,2025-06-06,295.14,2025-06-06 15:50:00,
2025-06-17,316.35,support,,2025-06-18,322.05,2025-06-18 15:50:00,
2025-06-23,348.68,resistance,short,2025-06-24,340.47,2025-06-24 15:50:00,
2025-07-07,293.94,support,cover,2025-07-08,297.81,2025-07-08 15:50:00,
2025-07-18,329.65,resistance,short,2025-07-21,329.16,2025-07-21 15:50:00,
