past_window,trade_window,final_cap
3,1,1176.471152
4,1,1176.471152
3,2,1100.436344
5,1,1096.4388800000002
6,1,1089.852664
7,1,1089.852664
9,1,1089.852664
8,1,1089.852664
4,2,1079.388616
5,2,1058.859544
7,2,1058.859544
8,2,1058.859544
9,2,1058.859544
6,2,1058.859544
7,3,1035.27664
8,3,1035.27664
9,3,1035.27664
6,3,1035.27664
4,3,1035.27664
5,3,1035.27664
6,4,1019.207336
9,4,1019.207336
3,4,1019.207336
8,4,1019.207336
4,4,1019.207336
7,4,1019.207336
5,4,1019.207336
3,3,1017.919672
4,5,1016.569968
6,5,1016.569968
7,5,1016.569968
8,5,1016.569968
3,5,1016.569968
5,5,1016.569968
9,5,1016.569968
