past_window,trade_window,final_cap
4,1,1288.7915340000002
3,1,1248.364434
8,1,1233.351028
7,1,1233.351028
6,1,1233.351028
5,1,1233.351028
5,2,1186.181308
7,2,1186.181308
4,2,1186.181308
6,2,1186.181308
5,3,1141.309084
6,3,1141.309084
4,3,1141.309084
3,3,1141.309084
9,1,1114.134304
4,4,1103.364924
3,4,1103.364924
5,4,1103.364924
8,3,1065.607588
9,3,1065.607588
7,3,1065.607588
9,2,1060.96588
8,2,1060.96588
3,2,1048.1785
7,4,1043.119144
6,4,1043.119144
9,4,1043.119144
8,4,1043.119144
8,5,1024.77371
4,5,1024.77371
7,5,1024.77371
3,5,1024.77371
6,5,1024.77371
5,5,1024.77371
9,5,1000.0
