past_window,trade_window,final_cap
4,1,1373.434232
5,1,1325.7764399999999
6,1,1325.7764399999999
7,1,1325.7764399999999
9,1,1325.7764399999999
8,1,1325.7764399999999
3,1,1122.216608
3,2,1087.7704600000002
7,2,1085.339976
5,2,1085.339976
8,2,1085.339976
4,2,1085.339976
9,2,1085.339976
6,2,1085.339976
8,3,1032.330366
7,3,1032.330366
9,3,1032.330366
6,3,1032.330366
4,3,1032.330366
3,3,1032.330366
5,3,1032.330366
6,4,996.42952
9,4,996.42952
3,4,996.42952
8,4,996.42952
4,4,996.42952
7,4,996.42952
5,4,996.42952
6,5,995.236812
4,5,995.236812
7,5,995.236812
8,5,995.236812
3,5,995.236812
5,5,995.236812
9,5,995.236812
