past_window,trade_window,final_cap
3,1,1338.58211
9,2,1242.838586
8,2,1242.838586
4,2,1242.838586
7,2,1242.838586
3,2,1242.838586
6,2,1242.838586
5,2,1242.838586
5,3,1228.878402
9,3,1228.878402
8,3,1228.878402
7,3,1228.878402
6,3,1228.878402
3,3,1228.878402
4,3,1228.878402
6,1,1223.468116
5,1,1223.468116
7,1,1223.468116
9,1,1223.468116
8,1,1223.468116
4,1,1223.468116
7,5,1213.4913239999998
4,5,1213.4913239999998
6,5,1213.4913239999998
5,5,1213.4913239999998
3,5,1213.4913239999998
8,4,1210.532676
3,4,1210.532676
5,4,1210.532676
7,4,1210.532676
4,4,1210.532676
6,4,1210.532676
8,5,1200.0
9,4,1200.0
9,5,1200.0
