past_window,trade_window,final_cap
8,1,1423.5235659999998
9,1,1423.5235659999998
3,1,1402.340252
6,1,1402.340252
4,1,1402.340252
7,1,1402.340252
5,1,1402.340252
4,2,1295.5506799999998
3,2,1295.5506799999998
5,2,1295.5506799999998
6,2,1295.5506799999998
7,2,1217.57718
9,2,1217.57718
8,2,1217.57718
5,3,1072.2866
4,3,1072.2866
3,3,1072.2866
4,4,1039.695442
3,4,1039.695442
3,5,998.3775999999999
9,4,993.878062
6,4,993.878062
7,4,993.878062
8,4,993.878062
5,4,993.878062
9,3,967.9747
8,3,967.9747
6,3,967.9747
7,3,967.9747
7,5,925.0697919999999
8,5,925.0697919999999
6,5,925.0697919999999
5,5,925.0697919999999
4,5,925.0697919999999
9,5,925.0697919999999
