past_window,trade_window,final_cap
8,1,1132.312132
4,1,1132.312132
7,1,1132.312132
5,1,1132.312132
9,1,1132.312132
6,1,1132.312132
6,3,1119.11674
3,3,1119.11674
7,3,1119.11674
4,3,1119.11674
9,3,1119.11674
5,3,1119.11674
8,3,1119.11674
6,2,1109.650368
7,2,1109.650368
3,2,1109.650368
8,2,1109.650368
9,2,1109.650368
5,2,1109.650368
4,2,1109.650368
6,4,1108.70666
4,4,1108.70666
9,4,1108.70666
7,4,1108.70666
8,4,1108.70666
3,4,1108.70666
5,4,1108.70666
3,1,1045.388876
7,5,1014.0956
8,5,1014.0956
6,5,1014.0956
5,5,1014.0956
4,5,1014.0956
3,5,1014.0956
9,5,1014.0956
