past_window,trade_window,final_cap
3,1,1201.8545159999999
8,1,1201.8545159999999
6,1,1201.8545159999999
7,1,1201.8545159999999
9,1,1201.8545159999999
4,1,1201.8545159999999
5,1,1201.8545159999999
7,2,1177.808704
5,2,1177.808704
8,2,1177.808704
3,2,1177.808704
4,2,1177.808704
9,2,1177.808704
6,2,1177.808704
8,3,1158.055452
7,3,1158.055452
9,3,1158.055452
6,3,1158.055452
4,3,1158.055452
3,3,1158.055452
5,3,1158.055452
6,4,1132.13252
9,4,1132.13252
3,4,1132.13252
8,4,1132.13252
4,4,1132.13252
7,4,1132.13252
5,4,1132.13252
6,5,1124.069624
4,5,1124.069624
7,5,1124.069624
8,5,1124.069624
3,5,1124.069624
5,5,1124.069624
9,5,1124.069624
