past_window,trade_window,final_cap
7,1,1785.138792
8,1,1785.138792
9,1,1785.138792
5,1,1778.949952
4,1,1778.949952
6,1,1778.949952
3,1,1752.098372
3,2,1735.828788
5,2,1735.828788
4,2,1735.828788
9,2,1712.4931199999999
6,2,1700.512472
8,2,1700.512472
7,2,1700.512472
4,3,1699.518704
3,3,1699.518704
9,3,1671.116428
8,3,1671.116428
7,4,1663.2320359999999
8,4,1663.2320359999999
9,4,1663.2320359999999
3,4,1662.9721880000002
6,3,1657.614268
7,3,1657.614268
5,3,1657.614268
6,4,1652.191628
5,4,1652.191628
4,4,1652.191628
5,5,1579.425384
4,5,1579.425384
3,5,1579.425384
7,5,1500.0
6,5,1500.0
8,5,1500.0
9,5,1500.0
