past_window,trade_window,final_cap
4,1,2661.1740660000005
9,1,2634.409986
7,1,2634.409986
8,1,2634.409986
6,1,2531.275962
5,1,2531.275962
7,2,2362.7520759999998
9,2,2362.7520759999998
8,2,2362.7520759999998
6,2,2362.7520759999998
3,2,2348.117124
4,2,2332.606436
5,2,2332.606436
3,3,2330.7985700000004
4,3,2330.7985700000004
3,1,2229.826746
7,3,2172.712832
9,3,2172.712832
8,3,2172.712832
6,3,2172.712832
5,3,2172.712832
6,4,2007.85696
7,4,2007.85696
5,4,2007.85696
8,4,2007.85696
4,4,2007.85696
9,4,2007.85696
3,4,1985.0945040000001
6,5,1959.20238
5,5,1959.20238
7,5,1959.20238
4,5,1959.20238
8,5,1959.20238
3,5,1959.20238
9,5,1959.20238
