past_window,trade_window,final_cap
3,1,3274.545907999999
4,1,2977.255744
5,1,2826.967092
6,1,2826.967092
8,1,2826.967092
9,1,2826.967092
7,1,2826.967092
6,2,2426.3872002000003
8,2,2426.3872002000003
5,2,2426.3872002000003
7,2,2426.3872002000003
4,2,2426.3872002000003
9,2,2426.3872002000003
3,2,2304.8917552
9,4,2280.6661196
8,4,2280.6661196
9,3,2270.1446072000003
8,5,2122.8629234
7,5,2122.8629234
9,5,2122.8629234
6,4,2073.4019456000005
7,4,2073.4019456000005
5,4,2073.4019456000005
4,4,2073.4019456000005
3,4,2073.4019456000005
7,3,1999.5369112000003
5,3,1999.5369112000003
8,3,1999.5369112000003
4,3,1999.5369112000003
3,3,1999.5369112000003
6,3,1999.5369112000003
6,5,1953.7088998
5,5,1953.7088998
4,5,1953.7088998
3,5,1953.7088998
