buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-07-26,2024-08-01,218.69,224.37,4,3.19,19.53
2024-08-07,2024-08-30,206.94,230.19,4,3.15,89.853
2024-09-17,2024-09-20,215.75,229.97,5,4.01,67.089
2024-10-08,2024-10-22,224.25,233.88,5,4.12,44.027
2024-11-05,2024-11-08,221.8,227.17,5,4.04,22.809
2025-01-22,2025-01-30,219.75,238.67,5,4.13,90.474
2025-02-10,2025-02-25,229.52,248.0,5,4.3,88.102
2025-03-14,2025-04-03,211.25,205.53,6,4.5,-38.821
2025-04-09,2025-04-15,172.06,201.76,8,5.38,232.217
2025-04-22,2025-05-02,196.0,206.09,8,5.79,74.93
2025-05-08,2025-05-14,197.73,212.43,8,5.91,111.694
2025-05-27,2025-06-09,198.29,204.44,9,6.52,48.826
2025-06-18,2025-07-07,195.92,212.72,9,6.62,144.58
2025-07-15,2025-07-21,209.22,212.14,9,6.83,19.454
