buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-07-26,2024-08-01,140.31,144.84,7,3.59,28.117
2024-08-08,2024-08-22,131.97,158.79,7,3.66,184.076
2024-09-09,2024-09-27,136.09,167.48,8,4.37,246.749
2024-10-02,2024-10-09,159.27,174.05,9,5.4,127.62
2024-10-24,2024-10-30,154.74,153.01,10,5.54,-22.84
2024-11-05,2024-11-08,141.92,149.26,11,5.77,74.975
2024-11-18,2024-12-05,138.36,143.68,11,5.58,52.936
2024-12-20,2024-12-26,118.0,125.68,14,6.14,101.379
2025-01-03,2025-01-07,121.65,130.5,14,6.35,117.546
2025-01-13,2025-01-23,115.42,121.43,16,6.82,89.339
2025-01-29,2025-02-05,115.73,107.69,17,6.84,-143.517
2025-02-10,2025-02-20,108.44,115.01,17,6.84,104.852
2025-03-04,2025-03-06,96.0,99.05,20,7.02,53.978
2025-03-11,2025-03-26,96.82,114.11,20,7.59,338.207
2025-04-09,2025-04-10,79.22,91.0,29,8.89,332.735
2025-04-22,2025-05-15,86.12,117.02,31,11.34,946.565
2025-05-27,2025-06-30,113.18,144.04,32,14.82,972.704
2025-07-08,2025-07-18,137.32,159.59,33,17.64,717.274
