buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-08-06,2024-08-14,15.62,17.23,64,3.78,99.256
2024-08-16,2024-08-26,16.58,18.08,66,4.12,94.882
2024-09-09,2024-09-30,15.69,18.11,76,4.62,179.296
2024-10-03,2024-10-21,17.14,19.21,80,5.23,160.366
2024-10-24,2024-10-30,19.12,20.32,80,5.68,90.321
2024-11-05,2024-11-25,19.61,27.55,82,6.96,644.119
2024-11-27,2024-12-18,26.77,29.62,84,8.53,230.874
2024-12-24,2025-01-07,27.39,28.52,91,9.16,93.672
2025-01-14,2025-01-22,27.4,29.62,94,9.65,199.032
2025-02-28,2025-03-06,23.14,25.46,120,10.5,267.902
2025-03-11,2025-03-25,23.04,24.84,132,11.38,226.224
2025-04-09,2025-05-23,21.67,30.73,151,14.24,1353.818
2025-06-06,2025-06-11,29.39,31.06,157,17.08,245.107
2025-06-24,2025-07-15,29.75,33.3,164,18.61,563.588
