buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-07-29,2024-08-01,168.86,170.15,7,4.27,4.758
2024-08-07,2024-08-21,161.2,165.14,7,4.11,23.468
2024-09-11,2024-09-23,149.92,164.28,8,4.52,110.356
2024-09-26,2024-10-07,163.64,167.72,8,4.77,27.868
2024-10-10,2024-10-16,160.75,164.53,8,4.68,25.556
2024-10-25,2024-10-31,163.53,173.16,8,4.85,72.192
2024-11-05,2024-11-13,169.43,180.46,8,5.04,83.202
2024-11-25,2024-12-17,166.07,197.25,9,5.89,274.734
2024-12-19,2024-12-26,191.84,195.14,9,6.27,23.431
2025-01-02,2025-01-07,190.65,197.07,9,6.28,51.499
2025-01-15,2025-02-05,193.14,191.08,9,6.22,-24.764
2025-02-13,2025-03-10,184.17,168.35,10,6.35,-164.545
2025-03-19,2025-03-26,161.76,169.0,10,5.95,66.446
2025-04-09,2025-04-15,144.42,159.12,12,6.56,169.844
2025-04-22,2025-04-28,148.89,162.43,13,7.28,168.735
2025-05-01,2025-05-06,160.48,162.17,13,7.55,14.42
2025-05-08,2025-05-28,154.73,173.06,13,7.67,230.62
2025-06-04,2025-06-11,166.74,179.85,14,8.73,174.806
2025-06-24,2025-07-07,166.98,179.06,15,9.34,171.857
2025-07-09,2025-07-21,175.25,186.29,15,9.76,155.838
