buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-08-13,2024-08-20,81.43,89.24,12,3.69,90.034
2024-10-25,2024-10-30,53.01,54.4,20,3.87,23.933
2024-11-18,2024-12-10,38.33,45.23,29,4.36,195.738
2024-12-19,2025-01-08,38.56,47.6,33,5.12,293.202
2025-01-17,2025-01-29,33.89,43.26,47,6.53,433.863
2025-02-13,2025-02-20,31.01,36.23,65,7.87,331.433
2025-03-04,2025-03-11,29.77,36.0,79,9.35,482.818
2025-04-11,2025-04-15,24.69,26.82,115,10.66,234.287
2025-05-16,2025-05-21,23.87,27.9,129,12.02,507.849
2025-06-20,2025-07-11,25.71,34.04,139,14.95,1142.921
2025-07-21,2025-07-21,31.53,31.53,150,17.03,-17.026
