buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-08-08,2024-08-20,102.0,128.4,17,7.05,441.75
2024-09-09,2024-09-13,104.86,119.05,21,8.46,289.526
2024-09-19,2024-09-27,117.35,123.97,21,9.12,129.898
2024-10-02,2024-10-22,116.41,142.97,22,10.27,574.049
2024-11-01,2024-11-08,134.7,148.79,24,12.25,325.913
2024-11-29,2024-12-05,136.74,145.12,26,13.19,204.689
2024-12-19,2024-12-26,131.68,139.64,28,13.67,209.205
2025-01-02,2025-01-07,136.0,153.02,29,15.09,478.493
2025-01-15,2025-01-24,133.65,148.37,33,16.75,469.008
2025-02-04,2025-02-21,116.97,139.99,42,19.43,947.414
2025-03-11,2025-03-17,107.02,122.71,54,22.33,824.93
2025-04-07,2025-04-10,87.46,109.33,76,26.92,1635.199
2025-04-22,2025-05-20,98.76,134.3,84,35.24,2950.121
2025-05-27,2025-07-18,134.14,173.64,84,46.54,3271.464
