buy_date,sell_date,buy_price,sell_price,shares,fee,pnl
2024-07-25,2024-07-29,0.67,0.72,2980,7.46,141.544
2024-08-05,2024-08-27,0.56,0.7,3820,8.68,533.762
2024-08-29,2024-09-13,0.61,0.72,4380,10.49,471.314
2024-09-19,2024-09-20,0.7,0.73,4500,11.57,127.925
2024-10-02,2024-10-22,0.65,1.18,5030,16.57,2649.331
2024-11-05,2024-11-15,1.03,2.95,5750,41.19,10998.807
2024-12-03,2024-12-09,5.97,8.58,2830,74.12,7312.182
2024-12-13,2024-12-19,6.42,21.98,3770,192.72,58468.478
2025-01-02,2025-01-16,16.69,12.35,4950,258.75,-21741.746
2025-01-28,2025-02-03,10.22,9.75,5960,214.24,-3015.438
2025-03-11,2025-03-25,4.48,8.63,12930,305.12,53354.378
2025-04-09,2025-04-15,6.13,6.95,18150,427.32,14455.676
2025-04-22,2025-05-19,5.92,12.09,21240,688.56,130362.242
2025-06-02,2025-06-17,11.31,19.87,22640,1270.65,192527.753
2025-06-26,2025-07-07,16.98,20.8,26420,1796.67,99127.734
2025-07-14,2025-07-18,17.89,19.82,30610,2077.75,56693.454
