short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-24,2024-07-26,224.06,218.69,4,3.19,18.292
2024-08-01,2024-08-07,224.37,206.94,4,3.11,66.615
2024-08-30,2024-09-17,230.19,215.75,4,3.21,54.549
2024-09-20,2024-10-08,229.97,224.25,4,3.27,19.61
2024-10-22,2024-11-05,233.88,221.8,4,3.28,45.039
2024-11-08,2025-01-22,227.17,219.75,5,4.02,33.078
2025-01-30,2025-02-10,238.67,229.52,5,4.21,41.536
2025-02-25,2025-03-14,248.0,211.25,5,4.13,179.617
2025-04-03,2025-04-09,205.53,172.06,7,4.76,229.532
2025-04-15,2025-04-22,201.76,196.0,8,5.73,40.352
2025-05-02,2025-05-08,206.09,197.73,8,5.82,61.065
2025-05-14,2025-05-27,212.43,198.29,8,5.91,107.206
2025-06-09,2025-06-18,204.44,195.92,9,6.49,70.194
2025-07-07,2025-07-15,212.72,209.22,9,6.84,24.665
