short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-08-01,2024-08-08,144.84,131.97,6,2.99,74.23
2024-08-22,2024-09-09,158.79,136.09,6,3.18,133.015
2024-09-27,2024-10-02,167.48,159.27,7,4.12,53.353
2024-10-09,2024-10-24,174.05,154.74,7,4.14,131.027
2024-10-30,2024-11-05,153.01,141.92,9,4.78,95.032
2024-11-08,2024-11-18,149.26,138.36,9,4.66,93.441
2024-12-05,2024-12-20,143.68,118.0,10,4.71,252.09
2024-12-26,2025-01-03,125.68,121.65,14,6.23,50.187
2025-01-07,2025-01-13,130.5,115.42,14,6.2,204.923
2025-01-23,2025-01-29,121.43,115.73,17,7.26,89.643
2025-02-05,2025-02-10,107.69,108.44,20,7.78,-22.781
2025-02-20,2025-03-04,115.01,96.0,18,6.84,335.343
2025-03-06,2025-03-11,99.05,96.82,25,8.81,46.936
2025-03-26,2025-04-09,114.11,79.22,22,7.66,759.924
2025-04-10,2025-04-22,91.0,86.12,36,11.48,164.203
2025-05-15,2025-05-27,117.02,113.18,29,12.02,99.344
2025-06-30,2025-07-08,144.04,137.32,24,12.15,149.125
2025-07-18,2025-07-21,159.59,157.62,23,13.13,32.178
