short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-24,2024-07-26,183.25,180.39,5,3.27,11.027
2024-08-01,2024-08-06,189.28,161.74,5,3.16,134.541
2024-08-22,2024-08-29,181.38,173.22,6,3.83,45.13
2024-09-03,2024-09-09,177.55,174.53,6,3.8,14.318
2024-09-13,2024-10-08,187.0,181.97,6,3.98,26.195
2024-10-14,2024-10-24,189.71,185.36,6,4.05,22.049
2024-11-14,2024-11-25,214.14,199.27,5,3.72,70.629
2024-12-17,2024-12-19,232.39,225.21,5,4.12,31.782
2024-12-26,2025-01-02,227.79,222.44,5,4.05,22.698
2025-01-07,2025-01-15,227.82,222.83,6,4.87,25.073
2025-01-29,2025-01-31,239.02,236.75,5,4.28,7.068
2025-02-05,2025-03-19,236.97,193.27,5,3.87,214.628
2025-03-26,2025-04-09,205.95,172.12,7,4.76,232.046
2025-04-10,2025-04-22,185.43,169.93,10,6.4,148.604
2025-05-02,2025-05-27,191.43,203.09,10,7.1,-123.701
2025-06-11,2025-06-24,217.41,212.23,8,6.19,35.253
