short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-08-14,2024-08-16,17.23,16.58,58,3.53,34.17
2024-08-26,2024-09-09,18.08,15.69,57,3.46,132.765
2024-09-30,2024-10-03,18.11,17.14,64,4.06,58.019
2024-10-21,2024-10-24,19.21,19.12,63,4.35,1.323
2024-10-30,2024-11-05,20.32,19.61,60,4.31,38.288
2024-11-25,2024-11-27,27.55,26.77,45,4.4,30.7
2024-12-18,2024-12-24,29.62,27.39,43,4.41,91.477
2025-01-07,2025-01-14,28.52,27.4,48,4.83,48.929
2025-01-22,2025-02-28,29.62,23.14,48,4.56,306.482
2025-03-06,2025-03-11,25.46,23.04,68,5.94,158.624
2025-03-25,2025-04-09,24.84,21.67,76,6.36,234.557
2025-05-23,2025-06-06,30.73,29.39,69,7.47,84.993
2025-06-11,2025-06-24,31.06,29.75,71,7.77,85.238
2025-07-15,2025-07-21,33.3,33.44,69,8.29,-17.949
