short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-24,2024-07-26,472.23,464.34,2,3.37,12.408
2024-08-16,2024-09-09,532.29,506.16,1,1.87,24.261
2024-10-07,2024-10-24,598.22,567.13,1,2.1,28.992
2024-10-30,2024-11-05,600.98,567.33,1,2.1,31.547
2024-11-08,2024-11-18,591.54,557.04,1,2.07,32.433
2024-12-12,2024-12-23,631.5,589.6,1,2.2,39.702
2025-01-07,2025-01-15,631.71,610.21,1,2.24,19.265
2025-02-18,2025-03-19,736.33,584.22,1,2.38,149.733
2025-03-26,2025-04-07,624.1,486.55,2,4.0,271.102
2025-04-10,2025-04-22,575.9,491.87,2,3.84,164.216
2025-05-15,2025-05-27,654.09,635.41,2,4.64,32.718
2025-06-11,2025-06-23,703.65,683.77,2,4.99,34.765
2025-07-01,2025-07-18,736.88,702.18,2,5.18,64.219
