short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-07-24,2024-08-06,440.45,400.01,2,3.03,77.854
2024-08-21,2024-09-09,424.01,407.12,2,2.99,30.788
2024-09-20,2024-10-08,437.05,410.9,2,3.05,49.247
2024-10-15,2024-11-01,422.2,409.0,2,2.99,23.408
2024-11-08,2024-11-22,425.41,411.02,3,4.52,38.653
2024-12-18,2025-01-03,451.3,421.08,2,3.14,57.299
2025-01-07,2025-01-15,429.11,419.13,3,4.58,25.36
2025-01-29,2025-03-04,446.69,383.55,3,4.48,184.937
2025-03-06,2025-03-14,394.04,379.78,4,5.57,51.468
2025-03-26,2025-04-09,395.0,353.42,4,5.39,160.931
2025-04-10,2025-04-22,382.06,363.27,4,5.37,69.794
2025-05-20,2025-05-27,455.44,456.48,4,6.57,-10.726
2025-06-27,2025-07-03,497.54,493.81,3,5.35,5.837
2025-07-18,2025-07-21,514.28,506.85,3,5.51,16.776
