short_date,cover_date,short_price,cover_price,shares,fee,pnl
2024-08-22,2024-08-29,223.82,209.8,4,3.12,52.958
2024-09-06,2024-10-04,232.63,246.6,4,3.45,-59.33
2024-10-28,2024-11-05,269.95,247.33,3,2.79,65.067
2024-11-12,2024-11-15,342.74,310.57,3,3.53,92.982
2024-11-25,2024-11-29,360.56,336.03,3,3.76,69.828
2024-12-18,2024-12-23,466.5,431.0,2,3.23,67.769
2024-12-26,2025-01-03,465.16,381.5,2,3.05,164.272
2025-01-16,2025-02-12,423.48,329.95,3,4.07,276.521
2025-02-20,2025-03-11,361.51,225.32,4,4.23,540.535
2025-03-17,2025-03-19,245.01,231.59,9,7.72,113.059
2025-03-26,2025-04-09,282.69,224.67,8,7.31,456.854
2025-04-10,2025-04-22,260.0,230.96,10,8.84,281.563
2025-04-30,2025-05-07,279.91,276.9,11,11.02,22.085
2025-05-19,2025-05-22,336.26,331.97,9,10.83,27.785
2025-05-28,2025-06-06,364.9,298.81,8,9.56,519.163
2025-06-24,2025-07-08,356.17,296.97,10,11.76,580.243
2025-07-21,2025-07-21,334.41,334.41,12,14.45,-14.447
